"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-740 0.414661874576697 6 9 "GO:0000002" "mitochondrial genome maintenance" 0.810811935804609
-49 0.954891124669146 2 10 "GO:0000012" "single strand break repair" 0.988640920535678
31 0.917391723978109 2 83 "GO:0000018" "regulation of DNA recombination" 0.981025831999712
-581 0.352502026133022 7 19 "GO:0000027" "ribosomal large subunit assembly" 0.778661192055034
1595 0.0638895921200647 2 10 "GO:0000028" "ribosomal small subunit assembly" 0.469851333225881
765 0.261231917722322 6 16 "GO:0000038" "very long-chain fatty acid metabolic process" 0.721312011621337
1016 0.00723553779465016 2 52 "GO:0000041" "transition metal ion transport" 0.199909249502329
-260 0.509894161306706 6 48 "GO:0000045;GO:1905037" "autophagosome organization" 0.853668426607749
-51 0.966432251127605 2 5 "GO:0000052" "citrulline metabolic process" 0.99034715390005
1092 0.133406505050231 2 14 "GO:0000054;GO:0033750" "ribosomal subunit export from nucleus" 0.592324882423026
-157 0.887756397246237 3 6 "GO:0000055" "ribosomal large subunit export from nucleus" 0.973802608526915
-423 0.521835143198608 2 17 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.861639284418676
270 0.674092315266452 5 18 "GO:0000076" "DNA replication checkpoint signaling" 0.929371602572251
-16 0.986466526398448 5 8 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.995970952546153
-389 0.333161312622203 3 46 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.763869013817055
-75 0.8867425020429 2 27 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.973802608526915
-240 0.545873780013002 2 47 "GO:0000096" "sulfur amino acid metabolic process" 0.874826286492608
-198 0.681523184799524 5 32 "GO:0000097" "sulfur amino acid biosynthetic process" 0.931510833005176
400 0.697544180848889 2 7 "GO:0000098" "sulfur amino acid catabolic process" 0.939938137471644
-810 0.249650316851527 2 15 "GO:0000101" "sulfur amino acid transport" 0.71099897807619
-571 0.552894895575313 4 8 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 0.877634568728684
66 0.679314689585414 2 299 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.931053806100947
