"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 6 24 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 2 11 "GO:0000012" "single strand break repair" 1
0 1 3 43 "GO:0000018" "regulation of DNA recombination" 1
0 1 3 15 "GO:0000022;GO:0051231" "spindle elongation" 1
0 1 4 26 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 7 17 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 5 15 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.141626933183814 2 62 "GO:0000041" "transition metal ion transport" 0.813331564109664
0 0.775081996452452 2 45 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 1 2 7 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 1
0 1 2 6 "GO:0000052" "citrulline metabolic process" 1
0 1 3 15 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 1
0 1 5 9 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 1 4 6 "GO:0000056" "ribosomal small subunit export from nucleus" 1
0 0.51715267611103 -1 22 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 1 2 16 "GO:0000076" "DNA replication checkpoint signaling" 1
0 1 2 117 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 1
0 0.716119630941388 3 38 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 1 2 74 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 1 -1 11 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.868030231904069 2 61 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 1 3 38 "GO:0000096" "sulfur amino acid metabolic process" 1
0 1 2 19 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 1
0 1 3 12 "GO:0000098" "sulfur amino acid catabolic process" 1
0 1 2 6 "GO:0000101;GO:0015811" "sulfur amino acid transport" 1
0 1 3 6 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 1
0 0.00175071126171166 4 413 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.0398135888654772
0 0.0472548953638639 2 61 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.373019440838367
0 1 3 19 "GO:0000154" "rRNA modification" 1
0 0.898113468703843 2 160 "GO:0000165" "MAPK cascade" 1
0 1 5 76 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 -1 9 "GO:0000185" "obsolete activation of MAPKKK activity" 1
0 0.617206652754884 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.662130638858713 -1 69 "GO:0000187" "obsolete activation of MAPK activity" 1
0 1 -1 10 "GO:0000188" "obsolete inactivation of MAPK activity" 1
0 1 2 160 "GO:0000209" "protein polyubiquitination" 1
0 1 2 42 "GO:0000212" "meiotic spindle organization" 1
0 0.979429334354246 4 359 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 2 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 1 7 51 "GO:0000245" "spliceosomal complex assembly" 1
0 1 2 15 "GO:0000266" "mitochondrial fission" 1
0 1 2 23 "GO:0000272;GO:0005980;GO:0009251;GO:0044247;GO:0044275" "obsolete cellular carbohydrate catabolic process" 1
0 0.998001182692488 2 252 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.357782742798342 3 93 "GO:0000281" "mitotic cytokinesis" 1
0 0.782444407198944 2 46 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.448705336354704 5 18 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 5 8 "GO:0000290;GO:0110156;GO:0110154" "mRNA methylguanosine-cap decapping" 1
0 1 -1 31 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 0.403066304908715 2 128 "GO:0000302" "response to reactive oxygen species" 1
0 1 2 16 "GO:0000303;GO:0000305" "response to oxygen radical" 1
0 1 -1 5 "GO:0000335;GO:0000337" "obsolete negative regulation of transposition, DNA-mediated" 1
0 1 2 13 "GO:0000338" "protein deneddylation" 1
0 1 2 11 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 1 2 63 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 1 4 33 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 8 11 "GO:0000389" "mRNA 3'-splice site recognition" 1
0 1 3 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 1
0 1 2 12 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 1 5 5 "GO:0000395" "mRNA 5'-splice site recognition" 1
0 1 -1 5 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 1
0 1 2 32 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 1 2 9 "GO:0000423" "mitophagy" 1
0 1 3 12 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 7 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 35 "GO:0000460" "maturation of 5.8S rRNA" 1
0 1 5 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 9 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 3 25 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 -1 30 "GO:0000469" "obsolete cleavage involved in rRNA processing" 1
0 1 4 22 "GO:0000470" "maturation of LSU-rRNA" 1
0 1 2 20 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 1
0 1 2 9 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 7 11 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 1
0 0.000150176817985719 2 106 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.0067146855228191
0 1 2 6 "GO:0000706" "meiotic DNA double-strand break processing" 1
0 1 2 20 "GO:0000712;GO:0051307" "meiotic chromosome separation" 1
0 1 3 19 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 1
0 1 2 16 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.872361327461401 3 62 "GO:0000723;GO:0032200" "telomere organization" 1
0 1 3 65 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 1 -1 42 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 1
0 1 3 14 "GO:0000729" "DNA double-strand break processing" 1
0 0.775081996452452 2 45 "GO:0000731;GO:0006301;GO:0019985" "DNA synthesis involved in DNA repair" 1
0 1 -1 5 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.767471705545148 2 44 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 1 3 108 "GO:0000819;GO:0000070" "sister chromatid segregation" 1
0 8.17726553690859e-06 -1 540 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667" "obsolete cell morphogenesis involved in differentiation" 0.0008140236409949
0 1 3 16 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 1
0 1 4 7 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 1 2 11 "GO:0000920" "septum digestion after cytokinesis" 1
0 0.982698132435983 4 180 "GO:0000956;GO:0006402;GO:0006401;GO:0141188" "nucleic acid catabolic process" 1
0 1 2 13 "GO:0000959" "mitochondrial RNA metabolic process" 1
0 1 4 42 "GO:0000966" "RNA 5'-end processing" 1
0 1 3 7 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 1
0 0.354199947463782 2 206 "GO:0001101" "response to acid chemical" 1
0 1 3 7 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "RNA polymerase II promoter clearance" 1
0 1 5 5 "GO:0001178;GO:0010630" "regulation of transcriptional start site selection at RNA polymerase II promoter" 1
0 1 3 5 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 1
0 1 -1 5 "GO:0001306;GO:0007571" "obsolete age-dependent response to oxidative stress" 1
0 7.73597465464731e-05 4 200 "GO:0001501" "skeletal system development" 0.00415203971159163
0 0.0325451294769037 2 9 "GO:0001502;GO:0098743" "cell aggregation" 0.289855410508315
0 0.0212400807823244 2 86 "GO:0001503" "ossification" 0.219300716648813
0 0.410943972497236 5 16 "GO:0001504" "neurotransmitter uptake" 1
0 0.9349463687637 -1 263 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 1 2 47 "GO:0001508" "action potential" 1
0 1 2 39 "GO:0001510" "RNA methylation" 1
0 1 2 7 "GO:0001514;GO:0006451" "translational readthrough" 1
0 0.0459789453453016 2 25 "GO:0001516;GO:0046457;GO:0006636;GO:0019371" "unsaturated fatty acid biosynthetic process" 0.366996846659321
0 1 3 12 "GO:0001522" "pseudouridine synthesis" 1
0 0.0429623608727377 7 41 "GO:0001523;GO:0016101;GO:0006721" "terpenoid metabolic process" 0.345532646287445
0 0.00120006291129424 2 115 "GO:0001525" "angiogenesis" 0.0298657166037189
0 0.759605231674794 3 43 "GO:0001541" "ovarian follicle development" 1
0 0.152306972202492 2 5 "GO:0001542" "ovulation from ovarian follicle" 0.813331564109664
0 0.179876444367215 2 6 "GO:0001553" "luteinization" 0.879544133903083
0 1 3 5 "GO:0001555" "oocyte growth" 1
0 1 2 14 "GO:0001556" "oocyte maturation" 1
0 0.744785365093902 2 259 "GO:0001558" "regulation of cell growth" 1
0 0.0258588941861439 3 8 "GO:0001562;GO:0042832" "response to protozoan" 0.248962638186305
0 0.00678509228077768 3 227 "GO:0001568;GO:0001944" "vasculature development" 0.106476762544469
0 0.391109113761521 2 15 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.40996207064453 3 43 "GO:0001570" "vasculogenesis" 1
0 1 2 86 "GO:0001578;GO:0035082" "microtubule bundle formation" 1
0 0.00253293257062957 4 30 "GO:0001649" "osteoblast differentiation" 0.0521745419539599
0 0.000573636053653754 2 541 "GO:0001654;GO:0007423" "sensory organ development" 0.0185834016860778
0 2.83906724354287e-07 4 212 "GO:0001655;GO:0072001" "urogenital system development" 7.1328184652058e-05
0 0.000488554987225667 2 32 "GO:0001656" "metanephros development" 0.0161456479255686
0 0.00133265300154484 6 52 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric epithelium development" 0.0325512835006971
0 0.0292136047440485 2 21 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.273767279981527
0 1 3 7 "GO:0001659" "temperature homeostasis" 1
0 1 3 13 "GO:0001662;GO:0002209;GO:0042596" "fear response" 1
0 0.304425305189264 3 224 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.322614735240414 4 228 "GO:0001667" "ameboidal-type cell migration" 1
0 1 2 9 "GO:0001675" "acrosome assembly" 1
0 0.141626933183814 2 62 "GO:0001676" "long-chain fatty acid metabolic process" 0.813331564109664
0 1 3 55 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 1 4 7 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 1
0 0.416055350706162 3 130 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
