"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.318098273580953 2 24 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 5 11 "GO:0000012" "single strand break repair" 1
0 0.123352274485132 7 43 "GO:0000018" "regulation of DNA recombination" 1
0 0.423582833563841 2 15 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.384617966746442 5 26 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.944688699363575 2 17 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.423582833563841 6 15 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.374864635626276 2 62 "GO:0000041" "transition metal ion transport" 1
0 0.726809440720665 2 45 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.696058796503147 2 7 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 1
0 0.238527651751297 4 6 "GO:0000052" "citrulline metabolic process" 1
0 0.922211916616511 2 15 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 1
0 0.783778725732419 2 9 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 1 2 6 "GO:0000056" "ribosomal small subunit export from nucleus" 1
0 0.458528255011167 -1 22 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.00698933388157459 2 16 "GO:0000076" "DNA replication checkpoint signaling" 0.822303630368155
0 0.279081497354515 6 117 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 1
0 0.383063723402888 2 38 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.260125033959748 4 74 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.846200363100932 -1 11 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.630064063165256 2 61 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.062175624805211 3 38 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.0634764240597715 2 19 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 1
0 0.286192811964338 3 12 "GO:0000098" "sulfur amino acid catabolic process" 1
0 1 5 6 "GO:0000101;GO:0015811" "sulfur amino acid transport" 1
0 0.238527651751297 2 6 "GO:0000105;GO:0009073" "aromatic amino acid family biosynthetic process" 1
0 0.923492406094512 2 413 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.931453931096089 3 61 "GO:0000132;GO:0051294" "establishment of spindle orientation" 1
0 0.589369045800538 2 19 "GO:0000154" "rRNA modification" 1
0 0.364010065960883 6 160 "GO:0000165" "MAPK cascade" 1
0 0.999965744097938 4 76 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.422528972620731 -1 9 "GO:0000185" "obsolete activation of MAPKKK activity" 1
0 0.85392507699077 -1 29 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.523443044764526 -1 69 "GO:0000187" "obsolete activation of MAPK activity" 1
0 0.0569148504655233 -1 10 "GO:0000188" "obsolete inactivation of MAPK activity" 1
0 0.536098957742213 2 160 "GO:0000209" "protein polyubiquitination" 1
0 0.912521187709247 6 42 "GO:0000212" "meiotic spindle organization" 1
0 0.962207255043046 3 359 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.479041540732774 2 10 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.998261660009201 2 51 "GO:0000245" "spliceosomal complex assembly" 1
0 0.922211916616511 2 15 "GO:0000266" "mitochondrial fission" 1
0 0.721101521271152 2 23 "GO:0000272;GO:0005980;GO:0009251;GO:0044247;GO:0044275" "obsolete cellular carbohydrate catabolic process" 1
0 0.963974892296219 2 252 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.880516391346296 3 93 "GO:0000281" "mitotic cytokinesis" 1
