"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1021 0.104421841720188 2 14 "GO:0000109" "nucleotide-excision repair complex" 0.42176107073817
-1489 0.0939348668889445 4 7 "GO:0000110" "nucleotide-excision repair factor 1 complex" 0.413215680066495
-114 0.736628437466572 3 48 "GO:0000118" "histone deacetylase complex" 0.904527696086561
-503 0.0707369982374426 2 72 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.378418207354151
-873 0.150808978243979 2 15 "GO:0000124" "SAGA complex" 0.494864247640735
99 0.905318137519519 2 8 "GO:0000127;GO:0090576" "RNA polymerase III transcription regulator complex" 0.98236648964884
329 0.711238674483783 5 7 "GO:0000137" "Golgi cis cisterna" 0.892959331821283
-1904 0.0322371489612993 2 7 "GO:0000138" "Golgi trans cisterna" 0.262355520802063
-51 0.680369348739962 2 378 "GO:0000139" "Golgi membrane" 0.892840564852011
441 0.573903540863519 2 9 "GO:0000145" "exocyst" 0.852589616832112
143 0.339072851083518 3 255 "GO:0000151" "ubiquitin ligase complex" 0.695123227794543
-836 0.0557898447899758 2 29 "GO:0000152" "nuclear ubiquitin ligase complex" 0.330846753987066
118 0.887580868316125 2 8 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.9753302952512
512 0.626754867145795 5 5 "GO:0000159" "protein phosphatase type 2A complex" 0.86080336331514
-236 0.790391479257753 2 7 "GO:0000164" "protein phosphatase type 1 complex" 0.938896710608977
996 0.299548198286436 4 6 "GO:0000172;GO:0030681" "ribonuclease MRP complex" 0.661971229272815
-261 0.689000157379991 2 13 "GO:0000176" "nuclear exosome (RNase complex)" 0.892959331821283
-193 0.751246395284717 2 15 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.91078207986182
-492 0.315968299632691 4 23 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.671506236848989
83 0.937281525145381 5 5 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.994249823092755
-666 0.149255314370173 2 26 "GO:0000228" "nuclear chromosome" 0.494864247640735
-44 0.944618372298635 2 14 "GO:0000242" "pericentriolar material" 0.994249823092755
-1067 0.31040685001875 5 5 "GO:0000243" "commitment complex" 0.667025955798718
358 0.70935060267051 -1 6 "GO:0000276" "obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" 0.892959331821283
21 0.965107056740483 2 23 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.997880529717384
-1524 0.147443057617893 2 5 "GO:0000322" "storage vacuole" 0.494864247640735
814 0.195614975950398 2 14 "GO:0000325" "plant-type vacuole" 0.548151855685181
-218 0.820580163904425 3 6 "GO:0000346" "transcription export complex" 0.950475130966211
-1053 0.0319131514357092 2 23 "GO:0000407" "phagophore assembly site" 0.262355520802063
358 0.429984566870689 2 27 "GO:0000421" "autophagosome membrane" 0.766936129738804
-207 0.815520014050536 2 7 "GO:0000439" "transcription factor TFIIH core complex" 0.949578098551994
585 0.481451001911275 4 8 "GO:0000445;GO:0000347" "THO complex" 0.805676590207791
-223 0.617103333064089 2 28 "GO:0000502" "proteasome complex" 0.859898087056517
995 0.231518337158954 2 8 "GO:0000506" "glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex" 0.588410391782724
-265 0.517495941125888 2 33 "GO:0000775" "chromosome, centromeric region" 0.831841282786021
-46 0.865661836004081 2 74 "GO:0000776" "kinetochore" 0.962467889166946
1280 0.182504300999504 2 6 "GO:0000779" "condensed chromosome, centromeric region" 0.52884769039629
207 0.462604486971397 3 70 "GO:0000781" "chromosome, telomeric region" 0.80066161206588
-1094 0.254399988837944 3 6 "GO:0000783;GO:0000782" "telomere cap complex" 0.605515891055824
-372 0.0129397356393163 2 255 "GO:0000785" "chromatin" 0.157125361334555
-198 0.680426208246696 3 24 "GO:0000786" "nucleosome" 0.892840564852011
-291 0.470909123230218 2 34 "GO:0000791" "euchromatin" 0.802591655057194
-415 0.259884801124357 2 41 "GO:0000792" "heterochromatin" 0.613616891543621
-243 0.536438242722195 3 36 "GO:0000793" "condensed chromosome" 0.83214667949375
-395 0.560361707247205 4 12 "GO:0000794" "condensed nuclear chromosome" 0.842193921501202
-389 0.640405430279362 2 8 "GO:0000803" "sex chromosome" 0.870037209942789
9 0.988788031047718 2 14 "GO:0000812" "Swr1 complex" 0.997880529717384
62 0.94104565684496 2 8 "GO:0000813" "ESCRT I complex" 0.994249823092755
692 0.351941987470676 2 10 "GO:0000815" "ESCRT III complex" 0.69750160729292
-217 0.301105077584983 2 127 "GO:0000922" "spindle pole" 0.661971229272815
-130 0.868108292189794 2 9 "GO:0000930" "gamma-tubulin complex" 0.962467889166946
-710 0.499750722869739 3 5 "GO:0000931" "gamma-tubulin ring complex" 0.816900220075535
-407 0.100281475798175 4 91 "GO:0000932" "P-body" 0.42176107073817
-1124 0.241739359995432 3 6 "GO:0000938;GO:1990745" "GARP complex" 0.595782346842393
-311 0.691763597167285 2 9 "GO:0000940" "outer kinetochore" 0.892959331821283
679 0.186317247645963 2 21 "GO:0000974" "Prp19 complex" 0.537859224336459
-224 0.831447697959805 2 5 "GO:0001401" "SAM complex" 0.950526060009238
-2765 0.00397973811515313 2 6 "GO:0001518" "voltage-gated sodium channel complex" 0.072488087097432
1476 0.0759457112884173 2 8 "GO:0001527" "microfibril" 0.387531741989169
-116 0.882755907535653 2 9 "GO:0001534" "radial spoke" 0.97166657448169
-1148 0.143024250743742 2 9 "GO:0001535" "radial spoke head" 0.494864247640735
287 0.268578694153117 2 83 "GO:0001650" "fibrillar center" 0.620733235731524
-906 0.0210335329782424 6 36 "GO:0001669" "acrosomal vesicle" 0.206791759290037
-483 0.358358185036976 2 20 "GO:0001673;GO:0043073" "germ cell nucleus" 0.702933362957145
697 0.0647680920307654 3 39 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.361661243821427
774 0.0427621057782542 2 38 "GO:0001726" "ruffle" 0.29685261467743
-290 0.493453877243485 2 31 "GO:0001750" "photoreceptor outer segment" 0.808334509831405
-492 0.530283527757506 2 9 "GO:0001772" "immunological synapse" 0.83214667949375
947 0.203119514661468 2 10 "GO:0001891" "phagocytic cup" 0.558256504650576
-771 0.0385119195960671 2 40 "GO:0001917" "photoreceptor inner segment" 0.279473097571764
888 0.355055111097923 2 6 "GO:0002080" "acrosomal membrane" 0.698853413239551
-2191 0.0371931451568611 2 5 "GO:0002096" "polkadots" 0.278802926435501
569 0.25719397906866 2 22 "GO:0002102" "podosome" 0.6091436346363
-1298 0.217214306932221 2 5 "GO:0002142" "stereocilia ankle link complex" 0.565617922577156
-52 0.933574589353673 2 14 "GO:0002177" "manchette" 0.994249823092755
-1462 0.164583181533681 4 5 "GO:0002178" "palmitoyltransferase complex" 0.51008865958853
670 1.23884902811009e-12 2 677 "GO:0005576" "extracellular region" 4.7385975325211e-10
1754 3.67855134217247e-09 2 63 "GO:0005581" "collagen trimer" 7.03522944190485e-07
3804 1.87485189198536e-05 3 7 "GO:0005584;GO:0005583" "fibrillar collagen trimer" 0.0014342616973688
1896 0.0155754672402352 2 9 "GO:0005589" "collagen type VI trimer" 0.183311268288922
697 0.00242054025955708 2 106 "GO:0005604" "basement membrane" 0.0529060942446047
1594 0.0729891109820208 2 7 "GO:0005614" "interstitial matrix" 0.382442944529082
853 5.90708591024247e-15 2 492 "GO:0005615" "extracellular space" 4.51892072133549e-12
-523 0.61908590016368 2 5 "GO:0005618" "cell wall" 0.860796584744466
290 0.151914599108443 3 137 "GO:0005635;GO:0031967" "organelle envelope" 0.494864247640735
-487 0.355227159516754 2 20 "GO:0005637" "nuclear inner membrane" 0.698853413239551
-11 0.989495302858054 3 8 "GO:0005640" "nuclear outer membrane" 0.997880529717384
-487 0.583518600162201 5 7 "GO:0005641" "nuclear envelope lumen" 0.852589616832112
307 0.749295576226227 3 6 "GO:0005642" "annulate lamellae" 0.90985891398899
-80 0.821757750302647 3 44 "GO:0005643" "nuclear pore" 0.950475130966211
-846 0.341187508939442 2 7 "GO:0005652" "nuclear lamina" 0.695123227794543
555 0.204748348072472 2 29 "GO:0005657" "replication fork" 0.558721696241643
30 0.971012577921912 3 8 "GO:0005662" "DNA replication factor A complex" 0.997880529717384
-871 0.219712587623365 2 11 "GO:0005663" "DNA replication factor C complex" 0.567838275445521
-1022 0.132243012794132 2 12 "GO:0005665" "RNA polymerase II, core complex" 0.486374542247649
222 0.688829194859761 6 18 "GO:0005666" "RNA polymerase III complex" 0.892959331821283
-220 0.205642821226386 2 188 "GO:0005667" "transcription regulator complex" 0.558721696241643
-435 0.459629815309089 2 16 "GO:0005669" "transcription factor TFIID complex" 0.800055912323701
150 0.840678479187232 3 10 "GO:0005675" "transcription factor TFIIH holo complex" 0.956374154611189
1381 0.0782635805582088 3 9 "GO:0005677" "chromatin silencing complex" 0.387531741989169
-629 0.334860186883355 2 13 "GO:0005680" "anaphase-promoting complex" 0.690935108157963
-176 0.316549420167284 3 183 "GO:0005681" "spliceosomal complex" 0.671506236848989
