query,DE
Pocillopora_acuta_HIv2___RNAseq.g24143.t1a,0
Pocillopora_acuta_HIv2___RNAseq.g18333.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7985.t1,0
Pocillopora_acuta_HIv2___RNAseq.g12425.t1,0
Pocillopora_acuta_HIv2___RNAseq.g31093.t1,0
Pocillopora_acuta_HIv2___RNAseq.g434.t1,1
Pocillopora_acuta_HIv2___RNAseq.g15081.t1,0
Pocillopora_acuta_HIv2___RNAseq.g22042.t1,0
Pocillopora_acuta_HIv2___RNAseq.g25875.t1,0
Pocillopora_acuta_HIv2___RNAseq.g9812.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11209.t1,0
Pocillopora_acuta_HIv2___TS.g10300.t1,0
Pocillopora_acuta_HIv2___RNAseq.g19553.t1,0
Pocillopora_acuta_HIv2___RNAseq.g26734.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7133.t1,0
Pocillopora_acuta_HIv2___RNAseq.g22885.t1,0
Pocillopora_acuta_HIv2___RNAseq.g9023.t1,0
Pocillopora_acuta_HIv2___RNAseq.g2823.t1,0
Pocillopora_acuta_HIv2___RNAseq.g15699.t1,1
Pocillopora_acuta_HIv2___RNAseq.g876.t1,0
Pocillopora_acuta_HIv2___TS.g26831.t1b,0
Pocillopora_acuta_HIv2___TS.g26831.t1a,0
Pocillopora_acuta_HIv2___RNAseq.g8079.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10995.t1,0
Pocillopora_acuta_HIv2___RNAseq.g16661.t1,0
Pocillopora_acuta_HIv2___RNAseq.g24866.t1,0
Pocillopora_acuta_HIv2___TS.g1932.t1,0
Pocillopora_acuta_HIv2___TS.g24662.t1,0
Pocillopora_acuta_HIv2___RNAseq.g17273.t1,0
Pocillopora_acuta_HIv2___RNAseq.g13665.t1,0
Pocillopora_acuta_HIv2___RNAseq.g3607.t1,0
Pocillopora_acuta_HIv2___RNAseq.g30846.t1,0
Pocillopora_acuta_HIv2___TS.g26977.t1,0
Pocillopora_acuta_HIv2___RNAseq.g27080.t1b,0
Pocillopora_acuta_HIv2___RNAseq.g24864.t1,0
Pocillopora_acuta_HIv2___RNAseq.g18444.t1a,0
Pocillopora_acuta_HIv2___RNAseq.g3605.t1,0
Pocillopora_acuta_HIv2___RNAseq.g16914.t1,0
Pocillopora_acuta_HIv2___RNAseq.g29920.t1,0
Pocillopora_acuta_HIv2___RNAseq.g15083.t1,0
Pocillopora_acuta_HIv2___RNAseq.g12665.t1,0
Pocillopora_acuta_HIv2___RNAseq.g29922.t1,0
Pocillopora_acuta_HIv2___RNAseq.g12514.t1,0
Pocillopora_acuta_HIv2___RNAseq.g9973.t1,0
Pocillopora_acuta_HIv2___RNAseq.g15887.t1,0
Pocillopora_acuta_HIv2___RNAseq.g19845.t1,0
Pocillopora_acuta_HIv2___RNAseq.g12179.t1,0
Pocillopora_acuta_HIv2___RNAseq.g20534.t1,0
Pocillopora_acuta_HIv2___TS.g13882.t1c,1
Pocillopora_acuta_HIv2___RNAseq.g5842.t1,0
Pocillopora_acuta_HIv2___TS.g27574.t1,0
Pocillopora_acuta_HIv2___RNAseq.g12667.t2,0
Pocillopora_acuta_HIv2___RNAseq.g21512.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10471.t1,0
Pocillopora_acuta_HIv2___RNAseq.g12938.t1,0
Pocillopora_acuta_HIv2___TS.g29608.t1b,0
Pocillopora_acuta_HIv2___RNAseq.g15740.t1,0
Pocillopora_acuta_HIv2___TS.g16961.t1,0
Pocillopora_acuta_HIv2___RNAseq.g8671.t1,0
Pocillopora_acuta_HIv2___RNAseq.g21007.t1,0
Pocillopora_acuta_HIv2___RNAseq.g28147.t1,0
Pocillopora_acuta_HIv2___RNAseq.1261_t,0
Pocillopora_acuta_HIv2___RNAseq.g3030.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7675.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11999.t1,0
Pocillopora_acuta_HIv2___RNAseq.g22205.t1,0
Pocillopora_acuta_HIv2___RNAseq.g18413.t1,1
Pocillopora_acuta_HIv2___RNAseq.g16151.t1,0
Pocillopora_acuta_HIv2___RNAseq.g13878.t1,0
Pocillopora_acuta_HIv2___RNAseq.g4133.t1,0
Pocillopora_acuta_HIv2___RNAseq.g27786.t1,0
Pocillopora_acuta_HIv2___RNAseq.g31168.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1119.t1,1
Pocillopora_acuta_HIv2___TS.g13052.t1,0
Pocillopora_acuta_HIv2___RNAseq.g14903.t1,0
Pocillopora_acuta_HIv2___RNAseq.g17052.t1,0
Pocillopora_acuta_HIv2___RNAseq.g8516.t1,0
Pocillopora_acuta_HIv2___RNAseq.g26878.t1,0
Pocillopora_acuta_HIv2___RNAseq.g20562.t1,0
Pocillopora_acuta_HIv2___RNAseq.g21953.t1,0
Pocillopora_acuta_HIv2___RNAseq.g20674.t1,0
Pocillopora_acuta_HIv2___RNAseq.g2812.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1629.t1a,0
Pocillopora_acuta_HIv2___RNAseq.g1629.t1b,0
Pocillopora_acuta_HIv2___RNAseq.g13766.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7259.t1,0
Pocillopora_acuta_HIv2___RNAseq.g19852.t1,0
Pocillopora_acuta_HIv2___RNAseq.g19482.t1,0
Pocillopora_acuta_HIv2___RNAseq.g12555.t1,0
Pocillopora_acuta_HIv2___RNAseq.g29252.t1,0
Pocillopora_acuta_HIv2___RNAseq.g21518.t1,1
Pocillopora_acuta_HIv2___RNAseq.g3032.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11806.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7238.t1,0
Pocillopora_acuta_HIv2___RNAseq.g18467.t1,0
Pocillopora_acuta_HIv2___TS.g2471.t1,0
Pocillopora_acuta_HIv2___TS.g20205.t1,0
Pocillopora_acuta_HIv2___RNAseq.14358_t,1
Pocillopora_acuta_HIv2___RNAseq.g7445.t2,0
Pocillopora_acuta_HIv2___TS.g30979.t1,0
Pocillopora_acuta_HIv2___RNAseq.g14455.t1,0
Pocillopora_acuta_HIv2___RNAseq.g21024.t1,0
Pocillopora_acuta_HIv2___TS.g16484.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7447.t1,0
Pocillopora_acuta_HIv2___RNAseq.g3826.t1,1
Pocillopora_acuta_HIv2___TS.g15590.t1,1
Pocillopora_acuta_HIv2___RNAseq.g21026.t1,0
Pocillopora_acuta_HIv2___RNAseq.g25797.t1,0
Pocillopora_acuta_HIv2___RNAseq.g16001.t1,0
Pocillopora_acuta_HIv2___RNAseq.g9918.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7718.t1,0
Pocillopora_acuta_HIv2___RNAseq.g16524.t1,0
Pocillopora_acuta_HIv2___RNAseq.g21264.t1,0
Pocillopora_acuta_HIv2___RNAseq.g8520.t1,0
Pocillopora_acuta_HIv2___TS.g18082.t1,0
Pocillopora_acuta_HIv2___RNAseq.g8142.t1,0
Pocillopora_acuta_HIv2___RNAseq.g7399.t1,0
Pocillopora_acuta_HIv2___RNAseq.g6205.t1,0
Pocillopora_acuta_HIv2___RNAseq.g14901.t1,0
