Fragment,Sample,Total Tissue Area,Total Dissection Area / 40 (approx # cells),Number of cells?,DissectionNumber
A,LCM_4,"6,161",154,,1
A,LCM_4,"10,742",269,,2
A,LCM_4,"8,116",203,,3
A,LCM_4,"4,101",103,,4
A,LCM_4,"2,908",73,,5
A,LCM_4,"3,243",81,,6
A,LCM_4,"5,932",148,,7
A,LCM_4,"5,008",125,,8
A,LCM_4,"2,993",75,,9
A,LCM_4,"49,204","1,230",,Total
A,LCM_5,"9,385",235,,1
A,LCM_5,"12,883",322,,2
A,LCM_5,"7,671",192,,3
A,LCM_5,"18,298",457,,4
A,LCM_5,"11,145",279,,5
A,LCM_5,"11,767",294,,6
A,LCM_5,"71,149","1,779",,Total
B,LCM_8,"11,010",275,,1
B,LCM_8,"11,759",294,,2
B,LCM_8,"6,794",170,,3
B,LCM_8,"12,843",321,,4
B,LCM_8,"8,788",220,,5
B,LCM_8,"13,770",344,,6
B,LCM_8,"13,453",336,,7
B,LCM_8,"16,508",413,,8
B,LCM_8,"94,925","2,373",,Total
B,LCM_9,"2,076",52,,1
B,LCM_9,"3,963",99,,2
B,LCM_9,"7,492",187,,3
B,LCM_9,"6,915",173,,4
B,LCM_9,"10,862",272,,5
B,LCM_9,"5,754",144,,6
B,LCM_9,"14,956",374,,7
B,LCM_9,"52,018","1,300",,Total
C,LCM_15,"22,224",556,,1
C,LCM_15,"33,084",827,,2
C,LCM_15,"16,882",422,,3
C,LCM_15,"21,112",528,,4
C,LCM_15,"20,781",520,,5
C,LCM_15,"11,390",285,,6
C,LCM_15,"18,361",459,,7
C,LCM_15,"14,082",352,,8
C,LCM_15,"157,916","3,948",,Total
C,LCM_16,"14,780",370,,1
C,LCM_16,"24,396",610,,2
C,LCM_16,"21,862",547,,3
C,LCM_16,"22,397",560,,4
C,LCM_16,"15,463",387,,5
C,LCM_16,"16,048",401,,6
C,LCM_16,"114,946","2,874",,Total
D,LCM_20,"21,277",532,,1
D,LCM_20,"11,521",288,,2
D,LCM_20,"12,834",321,,3
D,LCM_20,"17,452",436,,4
D,LCM_20,"13,422",336,,5
D,LCM_20,"12,380",310,,6
D,LCM_20,"12,382",310,,7
D,LCM_20,"101,268","2,532",,Total
D,LCM_21,"6,993",175,,1
D,LCM_21,"6,896",172,,2
D,LCM_21,"6,523",163,,3
D,LCM_21,"8,075",202,,4
D,LCM_21,"5,725",143,,5
D,LCM_21,"8,291",207,,6
D,LCM_21,"7,483",187,,7
D,LCM_21,"4,296",107,,8
D,LCM_21,"54,282","1,357",,Total
E,LCM_26,"11,104",278,,1
E,LCM_26,"12,574",314,,2
E,LCM_26,"14,974",374,,3
E,LCM_26,"14,561",364,,4
E,LCM_26,"15,122",378,,5
E,LCM_26,"9,585",240,,6
E,LCM_26,"15,131",378,,7
E,LCM_26,"15,074",377,,8
E,LCM_26,"9,023",226,,9
E,LCM_26,"7,800",195,,10
E,LCM_26,"124,948","3,124",,Total
E,LCM_27,"5,459",136,,1
E,LCM_27,"7,531",188,,2
E,LCM_27,"5,519",138,,3
E,LCM_27,"9,918",248,,4
E,LCM_27,"12,370",309,,5
E,LCM_27,"12,219",305,,6
E,LCM_27,"12,116",303,,7
E,LCM_27,"6,336",158,,8
E,LCM_27,"3,877",97,,9
E,LCM_27,"8,202",205,,10
E,LCM_27,"3,467",87,,11
E,LCM_27,"87,014","2,175",,Total
