sample,fastq_1,fastq_2,genome
LCM_1,data_WGBS/LCM_1_S1_flexbar_1.fastq.gz,data_WGBS/LCM_1_S1_flexbar_2.fastq.gz,
LCM_3,data_WGBS/LCM_3_S2_flexbar_1.fastq.gz,data_WGBS/LCM_3_S2_flexbar_2.fastq.gz,
LCM_11,data_WGBS/LCM_11_S3_flexbar_1.fastq.gz,data_WGBS/LCM_11_S3_flexbar_2.fastq.gz,
LCM_12,data_WGBS/LCM_12_S4_flexbar_1.fastq.gz,data_WGBS/LCM_12_S4_flexbar_2.fastq.gz,
LCM_17,data_WGBS/LCM_17_S7_flexbar_1.fastq.gz,data_WGBS/LCM_17_S7_flexbar_2.fastq.gz,
LCM_18,data_WGBS/LCM_18_S8_flexbar_1.fastq.gz,data_WGBS/LCM_18_S8_flexbar_2.fastq.gz,
LCM_24,data_WGBS/LCM_24_S5_flexbar_1.fastq.gz,data_WGBS/LCM_24_S5_flexbar_2.fastq.gz,
LCM_25,data_WGBS/LCM_25_S6_flexbar_1.fastq.gz,data_WGBS/LCM_25_S6_flexbar_2.fastq.gz,
LCM_32,data_WGBS/LCM_32_S9_flexbar_1.fastq.gz,data_WGBS/LCM_32_S9_flexbar_2.fastq.gz,
LCM_33,data_WGBS/LCM_33_S10_flexbar_1.fastq.gz,data_WGBS/LCM_33_S10_flexbar_2.fastq.gz,
