Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LCM_11_S3_R1_001	89.5377807161277	55.0	151.0	45.45454545454545	264104367.0
LCM_11_S3_R2_001	85.73098816200316	52.0	151.0	45.45454545454545	264104367.0
LCM_12_S4_R1_001	91.9604850291829	63.0	151.0	45.45454545454545	362388001.0
LCM_12_S4_R2_001	87.48061789751989	60.0	151.0	45.45454545454545	362388001.0
LCM_17_S7_R1_001	84.91345167821083	39.0	151.0	27.27272727272727	214927280.0
LCM_17_S7_R2_001	83.59682628817336	38.0	151.0	36.36363636363637	214927280.0
LCM_18_S8_R1_001	84.69572805586404	36.0	151.0	36.36363636363637	226659456.0
LCM_18_S8_R2_001	83.69718194255069	36.0	151.0	45.45454545454545	226659456.0
LCM_1_S1_R1_001	89.81857444414534	56.0	151.0	45.45454545454545	278172983.0
LCM_1_S1_R2_001	85.96560071485769	52.0	151.0	45.45454545454545	278172983.0
LCM_24_S5_R1_001	89.22851972131183	54.0	151.0	45.45454545454545	379951646.0
LCM_24_S5_R2_001	86.73850420383354	51.0	151.0	45.45454545454545	379951646.0
LCM_25_S6_R1_001	90.93017617500198	59.0	151.0	45.45454545454545	377034919.0
LCM_25_S6_R2_001	88.12963048495253	55.0	151.0	45.45454545454545	377034919.0
LCM_32_S9_R1_001	86.88693544021228	39.0	151.0	18.181818181818183	212372250.0
LCM_32_S9_R2_001	84.84249754819243	39.0	151.0	27.27272727272727	212372250.0
LCM_33_S10_R1_001	87.56111296460908	45.0	151.0	27.27272727272727	180320761.0
LCM_33_S10_R2_001	84.67742363348668	44.0	151.0	36.36363636363637	180320761.0
LCM_3_S2_R1_001	91.46515633099156	62.0	151.0	45.45454545454545	311337108.0
LCM_3_S2_R2_001	88.23480779665671	58.0	151.0	45.45454545454545	311337108.0
Undetermined_S0_R1_001	66.77211021901653	60.0	151.0	45.45454545454545	310662497.0
Undetermined_S0_R2_001	62.80954082303891	59.0	151.0	45.45454545454545	310662497.0
