"","LCM_15","LCM_16","LCM_20","LCM_21","LCM_26","LCM_27","LCM_4","LCM_5","LCM_8","LCM_9"
"Pocillopora_acuta_HIv2___RNAseq.g27566.t1",836,2479,1096,2222,133,3046,474,501,1090,7667
"Pocillopora_acuta_HIv2___RNAseq.g27976.t1",7031,3383,4757,2048,7392,6576,2651,3969,6174,276
"Pocillopora_acuta_HIv2___RNAseq.g28226.t2",453,974,0,2231,110,2864,761,0,0,87
"Pocillopora_acuta_HIv2___RNAseq.g24639.t1",1806,441,3401,1903,2123,2362,167,2862,3916,1956
"Pocillopora_acuta_HIv2___RNAseq.g25214.t1",16,9,21,24,29,0,0,6,21,0
"Pocillopora_acuta_HIv2___RNAseq.g25351.t1",21815,87490,8640,50088,23423,77599,128552,48663,4004,33705
"Pocillopora_acuta_HIv2___TS.g15792.t1",1062,1829,38,1179,0,2329,6146,921,0,433
"Pocillopora_acuta_HIv2___RNAseq.g13823.t1",579,1176,787,3116,66,6542,10586,878,0,2035
"Pocillopora_acuta_HIv2___RNAseq.g13824.t1",3,28,0,25,14,0,2198,0,0,48
"Pocillopora_acuta_HIv2___TS.g12304.t1",9950,136803,4420,100323,614,237669,494415,2699,2917,77140
"Pocillopora_acuta_HIv2___RNAseq.g15280.t1",395,597,0,0,21,2756,3528,0,0,0
"Pocillopora_acuta_HIv2___TS.g27873.t1",2520,1550,2910,1555,4079,1884,264,4763,2514,2233
"Pocillopora_acuta_HIv2___TS.g22622.t1",9838,2949,13251,3343,11108,3889,1028,10499,8855,1600
"Pocillopora_acuta_HIv2___RNAseq.g25935.t1",6328,62403,4206,69540,12838,130403,44400,18736,1725,47071
"Pocillopora_acuta_HIv2___RNAseq.g26035.t1",1161,5687,145,1365,82,3231,12277,501,640,1521
"Pocillopora_acuta_HIv2___RNAseq.g16715.t1",39496,259122,23052,262509,44878,305987,394192,70180,8096,149287
"Pocillopora_acuta_HIv2___RNAseq.g21689.t1",330,1406,0,733,0,842,718,0,251,1095
"Pocillopora_acuta_HIv2___RNAseq.g11479.t1",250,1524,740,452,0,3885,4493,259,571,1090
"Pocillopora_acuta_HIv2___RNAseq.g11609.t1",11071,5940,8507,7469,8267,14332,8904,30166,8031,9184
"Pocillopora_acuta_HIv2___RNAseq.g21501.t1",2469,318,314,1789,704,693,2102,273,702,0
"Pocillopora_acuta_HIv2___RNAseq.g21517.t1",865,741,1795,83,1334,156,440,2329,1339,0
"Pocillopora_acuta_HIv2___RNAseq.g7085.t1",641,2183,139,59,1556,867,0,0,234,0
"Pocillopora_acuta_HIv2___RNAseq.g14653.t1",51839,158328,48674,63599,91090,73214,49715,125619,14299,77937
"Pocillopora_acuta_HIv2___RNAseq.g14663.t1a",627,803,2627,0,2358,734,340,710,2984,62
"Pocillopora_acuta_HIv2___RNAseq.g10093.t2",784,0,127,556,748,1278,983,3427,0,311
"Pocillopora_acuta_HIv2___RNAseq.g20587.t2",917,0,503,0,145,0,0,1681,691,6
"Pocillopora_acuta_HIv2___RNAseq.g3780.t1",2728,10730,2327,7437,3100,7875,11150,11476,1148,2545
"Pocillopora_acuta_HIv2___RNAseq.g4085.t1",15913,5099,9597,3682,26246,4041,5946,7651,21171,1645
"Pocillopora_acuta_HIv2___RNAseq.g21232.t1",849,468,266,361,1167,3022,1318,519,757,839
"Pocillopora_acuta_HIv2___TS.g19102.t1",202,1076,205,797,1841,942,12,1706,270,251
"Pocillopora_acuta_HIv2___RNAseq.g22261.t1",0,18,0,1894,0,3077,6808,0,0,143
"Pocillopora_acuta_HIv2___RNAseq.g22851.t1",45629,27363,60015,44832,65709,65359,35482,58839,71833,37215
"Pocillopora_acuta_HIv2___RNAseq.g23331.t1",92,68,102,68,0,0,610,356,44,0
"Pocillopora_acuta_HIv2___RNAseq.g7402.t1",5428,8731,8124,8371,8719,17375,52554,3849,7005,5449
"Pocillopora_acuta_HIv2___TS.g6007.t1",958,3331,1929,517,3667,1378,0,2794,1960,288
