"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","List","Standardized_Name_spA"
"1","Pocillopora_acuta_HIv2___RNAseq.g14330.t3",2168.32101516159,16.3859028551501,3.71164199181217,6.70801192648671e-19,1.6170780750784e-15,"epidermis_1","epidermis"
"2","Pocillopora_acuta_HIv2___RNAseq.g14025.t1",2533.20105807112,16.5084028067417,3.78273122811433,1.17610368424726e-18,2.12639546111904e-15,"epidermis_2","epidermis"
"3","Pocillopora_acuta_HIv2___RNAseq.g22853.t1",8612.30390232864,11.1479439185155,2.14634834160287,1.90546526898883e-15,6.72210967089134e-13,"digestive_filaments","digestive_filaments"
"4","Pocillopora_acuta_HIv2___RNAseq.g14336.t1",765.622505305614,14.7730606729719,3.63952115566365,3.99814142536626e-15,1.23040675694676e-12,"epidermis_1","epidermis"
"5","Pocillopora_acuta_HIv2___RNAseq.g2959.t1",461.103525953368,11.2630928486836,2.26716717944321,7.46961939195202e-13,9.82187044410855e-11,"neuron_2","neuron"
"6","Pocillopora_acuta_HIv2___RNAseq.g14347.t1",3739.22928222091,-9.56130060539418,2.39924640453721,3.75668654580499e-12,3.8811938713231e-10,"gastrodermis","gastrodermis"
"7","Pocillopora_acuta_HIv2___RNAseq.g3653.t1",1313.49523169237,12.3032875792221,3.00250522100216,1.00250518252326e-11,8.95076232099782e-10,"neuron_5","neuron"
"8","Pocillopora_acuta_HIv2___RNAseq.g13339.t1",286.202190123045,12.9575878901316,3.53675889247504,1.74012014335989e-11,1.45407460759362e-09,"gland_9","gland"
"9","Pocillopora_acuta_HIv2___RNAseq.g11198.t1",3305.3903417023,8.81745804929396,2.91557887128667,1.85187710175109e-11,1.51330793218801e-09,"gastrodermis","gastrodermis"
"10","Pocillopora_acuta_HIv2___RNAseq.g11198.t1",3305.3903417023,8.81745804929396,2.91557887128667,1.85187710175109e-11,1.51330793218801e-09,"epidermis_1","epidermis"
"11","Pocillopora_acuta_HIv2___RNAseq.g11198.t1",3305.3903417023,8.81745804929396,2.91557887128667,1.85187710175109e-11,1.51330793218801e-09,"immune_1","immune"
"12","Pocillopora_acuta_HIv2___TS.g12860.t1",867.113858485982,-12.4390075914916,3.31498685272648,2.69724078675891e-11,2.07515376274898e-09,"gastrodermis","gastrodermis"
"13","Pocillopora_acuta_HIv2___RNAseq.g14358.t1",241.294677966493,-13.4991567983639,3.81464982577938,3.25455904569612e-11,2.42649185757467e-09,"digestive_filaments","digestive_filaments"
"14","Pocillopora_acuta_HIv2___TS.g6104.t1",847.604023362473,11.3751535395578,2.87349272700753,7.12106833842365e-11,4.42056362433303e-09,"epidermis_2","epidermis"
