"","PC1","PC2","group","name","Sample","Species","Fragment","Tissue","Section_Date","LCM_Date","sizeFactor"
"LCM_15",-125.314304246904,-4.40294717740684,"OralEpi:C","LCM_15","LCM_15","Pocillopora_acuta","C","OralEpi","20240905","20240906",1.13229063092271
"LCM_16",48.5448448897631,54.2636047649752,"Aboral:C","LCM_16","LCM_16","Pocillopora_acuta","C","Aboral","20240905","20240906",0.938910163732934
"LCM_20",-132.644704165612,-2.73065524202368,"OralEpi:D","LCM_20","LCM_20","Pocillopora_acuta","D","OralEpi","20240910","20240911",1.3446739779808
"LCM_21",96.2376639229499,78.9893535862308,"Aboral:D","LCM_21","LCM_21","Pocillopora_acuta","D","Aboral","20240910","20240911",0.87772218478284
"LCM_26",-130.969659863597,6.49269198090844,"OralEpi:E","LCM_26","LCM_26","Pocillopora_acuta","E","OralEpi","20240910","20240911",1.76199731807434
"LCM_27",79.4094380684952,91.2399370932044,"Aboral:E","LCM_27","LCM_27","Pocillopora_acuta","E","Aboral","20240910","20240911",1.14801155454116
"LCM_4",163.305123341709,108.583245861547,"Aboral:A","LCM_4","LCM_4","Pocillopora_acuta","A","Aboral","20240904","20240904",0.917243364014509
"LCM_5",-110.14924904701,36.6817996181635,"OralEpi:A","LCM_5","LCM_5","Pocillopora_acuta","A","OralEpi","20240904","20240904",1.64372446610898
"LCM_8",-116.334835645151,-153.64083619613,"OralEpi:B","LCM_8","LCM_8","Pocillopora_acuta","B","OralEpi","20240905","20240906",0.991593584416046
"LCM_9",227.915682745354,-215.476194289466,"Aboral:B","LCM_9","LCM_9","Pocillopora_acuta","B","Aboral","20240905","20240906",0.608632489809661
