"","x"
"1","Pocillopora_acuta_HIv2___RNAseq.10010_t"
"2","Pocillopora_acuta_HIv2___RNAseq.g10676.t1"
"3","Pocillopora_acuta_HIv2___RNAseq.g11852.t1"
"4","Pocillopora_acuta_HIv2___RNAseq.g11857.t1"
"5","Pocillopora_acuta_HIv2___RNAseq.g15121.t1"
"6","Pocillopora_acuta_HIv2___RNAseq.g28464.t1"
"7","Pocillopora_acuta_HIv2___RNAseq.g5711.t2"
"8","Pocillopora_acuta_HIv2___RNAseq.g7752.t1b"
"9","Pocillopora_acuta_HIv2___RNAseq.g9466.t1"
"10","Pocillopora_acuta_HIv2___TS.g14960.t2"
"11","Pocillopora_acuta_HIv2___RNAseq.12574_t"
"12","Pocillopora_acuta_HIv2___RNAseq.29542_t"
"13","Pocillopora_acuta_HIv2___RNAseq.g12898.t1"
"14","Pocillopora_acuta_HIv2___RNAseq.g14180.t1"
"15","Pocillopora_acuta_HIv2___RNAseq.g14912.t2"
"16","Pocillopora_acuta_HIv2___RNAseq.g15835.t1"
"17","Pocillopora_acuta_HIv2___RNAseq.g21501.t1"
"18","Pocillopora_acuta_HIv2___RNAseq.g24327.t1"
"19","Pocillopora_acuta_HIv2___RNAseq.g26270.t1a"
"20","Pocillopora_acuta_HIv2___RNAseq.g28066.t1"
"21","Pocillopora_acuta_HIv2___RNAseq.g30557.t1"
"22","Pocillopora_acuta_HIv2___RNAseq.g30559.t1"
"23","Pocillopora_acuta_HIv2___RNAseq.g3546.t1"
"24","Pocillopora_acuta_HIv2___RNAseq.g3937.t1"
"25","Pocillopora_acuta_HIv2___RNAseq.g7022.t1"
"26","Pocillopora_acuta_HIv2___TS.g10620.t1"
"27","Pocillopora_acuta_HIv2___TS.g15134.t1"
"28","Pocillopora_acuta_HIv2___TS.g15135.t1"
"29","Pocillopora_acuta_HIv2___TS.g15872.t3"
"30","Pocillopora_acuta_HIv2___TS.g16421.t1"
"31","Pocillopora_acuta_HIv2___TS.g19498.t1"
"32","Pocillopora_acuta_HIv2___TS.g21127.t1c"
"33","Pocillopora_acuta_HIv2___TS.g21857.t1"
"34","Pocillopora_acuta_HIv2___TS.g22292.t1"
"35","Pocillopora_acuta_HIv2___TS.g23295.t1"
"36","Pocillopora_acuta_HIv2___TS.g4109.t3"
"37","Pocillopora_acuta_HIv2___TS.g4646.t1"
"38","Pocillopora_acuta_HIv2___TS.g602.t1"
"39","Pocillopora_acuta_HIv2___TS.g6722.t1"
"40","Pocillopora_acuta_HIv2___TS.g9513.t1"
"41","Pocillopora_acuta_HIv2___RNAseq.11901_t"
"42","Pocillopora_acuta_HIv2___RNAseq.12949_t"
"43","Pocillopora_acuta_HIv2___RNAseq.18788_t"
"44","Pocillopora_acuta_HIv2___RNAseq.25025_t"
"45","Pocillopora_acuta_HIv2___RNAseq.2533_t"
"46","Pocillopora_acuta_HIv2___RNAseq.26564_t"
"47","Pocillopora_acuta_HIv2___RNAseq.26630_tb"
"48","Pocillopora_acuta_HIv2___RNAseq.30415_t"
"49","Pocillopora_acuta_HIv2___RNAseq.4396_t"
"50","Pocillopora_acuta_HIv2___RNAseq.665_t"
"51","Pocillopora_acuta_HIv2___RNAseq.673_t"
"52","Pocillopora_acuta_HIv2___RNAseq.g1017.t1"
"53","Pocillopora_acuta_HIv2___RNAseq.g1028.t1"
"54","Pocillopora_acuta_HIv2___RNAseq.g10386.t1"
"55","Pocillopora_acuta_HIv2___RNAseq.g10749.t1"
"56","Pocillopora_acuta_HIv2___RNAseq.g10758.t1"
"57","Pocillopora_acuta_HIv2___RNAseq.g10780.t1"
"58","Pocillopora_acuta_HIv2___RNAseq.g10835.t1"
"59","Pocillopora_acuta_HIv2___RNAseq.g11580.t1"
"60","Pocillopora_acuta_HIv2___RNAseq.g11648.t1"
"61","Pocillopora_acuta_HIv2___RNAseq.g11746.t1"
"62","Pocillopora_acuta_HIv2___RNAseq.g11894.t1"
"63","Pocillopora_acuta_HIv2___RNAseq.g12099.t1"
"64","Pocillopora_acuta_HIv2___RNAseq.g1217.t1"
"65","Pocillopora_acuta_HIv2___RNAseq.g12590.t1"
"66","Pocillopora_acuta_HIv2___RNAseq.g12805.t1"
