Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
LCM_15_S40_R1_001	68.68601428142875	44.0	151.0	36.36363636363637	34099910.0
LCM_15_S40_R2_001	68.77933585207856	45.0	151.0	45.45454545454545	34099910.0
LCM_16_S41_R1_001	73.57510930745255	45.0	151.0	36.36363636363637	35853769.0
LCM_16_S41_R2_001	73.5661357858507	45.0	151.0	45.45454545454545	35853769.0
LCM_20_S42_R1_001	68.72655870777271	45.0	151.0	27.27272727272727	40578444.0
LCM_20_S42_R2_001	68.7860578541723	46.0	151.0	36.36363636363637	40578444.0
LCM_21_S43_R1_001	70.30258976868788	45.0	151.0	36.36363636363637	31088652.0
LCM_21_S43_R2_001	70.08296419718121	46.0	151.0	36.36363636363637	31088652.0
LCM_26_S44_R1_001	62.42920768633305	44.0	151.0	36.36363636363637	38580134.0
LCM_26_S44_R2_001	62.6594065048777	44.0	151.0	45.45454545454545	38580134.0
LCM_27_S45_R1_001	70.70155896508355	45.0	151.0	27.27272727272727	36402774.0
LCM_27_S45_R2_001	70.74986545380253	45.0	151.0	36.36363636363637	36402774.0
LCM_4_S36_R1_001	74.7231485973917	45.0	151.0	36.36363636363637	35296003.0
LCM_4_S36_R2_001	74.38838995827548	45.0	151.0	27.27272727272727	35296003.0
LCM_5_S37_R1_001	61.12868575207399	44.0	151.0	36.36363636363637	35020554.0
LCM_5_S37_R2_001	61.58167105847793	44.0	151.0	36.36363636363637	35020554.0
LCM_8_S38_R1_001	74.40944011601201	44.0	151.0	45.45454545454545	40551555.0
LCM_8_S38_R2_001	74.41510723242833	45.0	151.0	45.45454545454545	40551555.0
LCM_9_S39_R1_001	77.52450501229856	45.0	151.0	45.45454545454545	33997157.0
LCM_9_S39_R2_001	77.51640389836822	45.0	151.0	36.36363636363637	33997157.0
