gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27398.t1,519,0,450,0,1407,349,0,1048,0,0
Pocillopora_acuta_HIv2___RNAseq.g27399.t1,476,0,1372,0,1174,0,343,2396,2988,0
Pocillopora_acuta_HIv2___RNAseq.g27400.t1,258,0,1350,151,727,861,1298,57,0,0
Pocillopora_acuta_HIv2___RNAseq.g27405.t1,1843,2559,1028,1272,4494,3442,882,3051,1855,2107
Pocillopora_acuta_HIv2___TS.g10161.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27406.t1,33,903,473,1163,20,197,64,354,0,0
Pocillopora_acuta_HIv2___RNAseq.g27407.t1,1363,945,242,743,1537,1079,1826,2297,723,29
Pocillopora_acuta_HIv2___TS.g10164.t1,44,187,37,0,156,49,133,124,0,0
Pocillopora_acuta_HIv2___TS.g10169.t1,0,47,299,0,179,0,0,50,95,294
Pocillopora_acuta_HIv2___RNAseq.g27408.t1,378,729,2456,1027,1670,791,228,169,23,0
Pocillopora_acuta_HIv2___RNAseq.g27409.t1,1010,2950,1039,491,1872,2147,2622,2411,499,466
Pocillopora_acuta_HIv2___RNAseq.g27410.t1,2302,1783,1584,2711,3998,4630,2597,2327,6923,1771
Pocillopora_acuta_HIv2___RNAseq.g27411.t1,609,2047,1202,716,1084,696,1621,2636,2336,0
Pocillopora_acuta_HIv2___RNAseq.g27413.t1,1536,492,2840,0,1162,0,0,485,1841,0
Pocillopora_acuta_HIv2___TS.g10175.t2a,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10176.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10174.t1,910,0,60,0,861,0,0,2052,0,0
Pocillopora_acuta_HIv2___TS.g10175.t2b,242,108,370,269,590,533,1834,129,0,0
Pocillopora_acuta_HIv2___RNAseq.g27418.t1,788,803,273,719,1381,89,0,688,91,0
Pocillopora_acuta_HIv2___RNAseq.g27419.t1,1078,754,700,1666,1076,485,1744,1079,2060,0
Pocillopora_acuta_HIv2___RNAseq.g27420.t1,0,0,0,0,80,0,0,168,0,0
Pocillopora_acuta_HIv2___RNAseq.g27421.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27422.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27423.t1,0,0,0,211,0,810,772,82,0,0
Pocillopora_acuta_HIv2___RNAseq.g27424.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27425.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.29_t,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27427.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27428.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.37_t,0,0,0,0,0,0,0,408,0,0
Pocillopora_acuta_HIv2___RNAseq.g27434.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27435.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27436.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27437.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10199.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27440.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27441.t1,0,0,0,0,16,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27429.t1,74,114,90,134,127,176,134,204,0,128
Pocillopora_acuta_HIv2___RNAseq.g27430.t1,6,0,3,1,2,2,1,78,1,1
Pocillopora_acuta_HIv2___TS.g10192.t2,2047,3352,1827,3556,3142,3670,5099,3272,45,3885
Pocillopora_acuta_HIv2___RNAseq.g27433.t1,60,749,180,1348,181,1178,114,532,73,1922
Pocillopora_acuta_HIv2___TS.g10198.t2,262,83,462,0,1604,142,0,524,767,0
Pocillopora_acuta_HIv2___RNAseq.g27445.t1,0,98,91,138,44,523,85,346,14,9
Pocillopora_acuta_HIv2___TS.g10216.t2,1711,545,2395,2776,1941,1613,3024,2224,1869,456
Pocillopora_acuta_HIv2___RNAseq.g27456.t1,189,0,110,0,194,0,0,22,0,0
Pocillopora_acuta_HIv2___RNAseq.g27457.t1,432,1,499,3,257,0,0,4,8,0
Pocillopora_acuta_HIv2___RNAseq.g27458.t1,966,0,491,0,1141,0,0,1097,163,0
Pocillopora_acuta_HIv2___RNAseq.g27462.t1,0,0,98,10,631,732,0,150,411,38
Pocillopora_acuta_HIv2___RNAseq.g27461.t1,277,0,138,0,0,0,0,561,0,0
Pocillopora_acuta_HIv2___RNAseq.g27474.t1,213,549,183,180,28,0,2932,0,323,357
Pocillopora_acuta_HIv2___RNAseq.g27481.t1,753,670,354,0,618,973,3235,924,0,566
Pocillopora_acuta_HIv2___RNAseq.g27482.t1,6170,7243,6354,11407,5783,6226,4666,6094,1795,4401
Pocillopora_acuta_HIv2___TS.g10243.t2,3421,5457,1325,4151,5259,3699,231,5566,6171,677
Pocillopora_acuta_HIv2___RNAseq.g27485.t1,1334,414,824,794,1348,488,1926,1965,891,987
Pocillopora_acuta_HIv2___RNAseq.g27486.t1,1012,238,1549,20,1871,0,158,89,913,0
Pocillopora_acuta_HIv2___TS.g10252.t2,40,240,18,267,0,463,1703,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27497.t1,0,0,0,0,288,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27499.t1,0,0,139,0,1,247,0,0,269,22
Pocillopora_acuta_HIv2___RNAseq.g27498.t1,1854,808,1669,800,1164,2444,124,1782,420,0
Pocillopora_acuta_HIv2___RNAseq.g27500.t1,1198,523,1615,603,1431,2317,755,1555,1219,117
Pocillopora_acuta_HIv2___RNAseq.g27501.t1,929,3367,2265,1071,3978,2621,3598,1608,2626,2578
Pocillopora_acuta_HIv2___TS.g10260.t1,24699,42052,18462,0,32131,31202,47579,41593,22329,27818
Pocillopora_acuta_HIv2___RNAseq.g27502.t1,5043,8366,7627,8242,8496,11433,10054,6132,5420,4626
Pocillopora_acuta_HIv2___RNAseq.g27503.t1,0,18,1112,0,348,0,272,10,0,0
Pocillopora_acuta_HIv2___RNAseq.g27507.t1,4,2,6,2,3,2,2,13,0,0
Pocillopora_acuta_HIv2___RNAseq.g27519.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10279.t1b,175,144,342,237,319,190,161,303,93,155
Pocillopora_acuta_HIv2___RNAseq.g27523.t1,244,371,2403,217,1093,0,0,1069,0,209
Pocillopora_acuta_HIv2___TS.g10282.t1,12946,21301,4910,21174,14096,21508,44239,32117,6903,17366
Pocillopora_acuta_HIv2___RNAseq.g27525.t1,0,920,0,182,0,0,917,1149,0,0
Pocillopora_acuta_HIv2___TS.g10284.t2,976,199,600,0,3013,1384,0,1732,139,1495
Pocillopora_acuta_HIv2___RNAseq.g27531.t1,177,22,99,125,59,180,10,109,33,42
Pocillopora_acuta_HIv2___RNAseq.g27538.t1,0,0,0,0,0,0,0,19,0,0
Pocillopora_acuta_HIv2___RNAseq.g27541.t1,108,255,1162,727,1343,204,1081,205,0,0
