gene_id,LCM_15,LCM_16,LCM_20,LCM_21,LCM_26,LCM_27,LCM_4,LCM_5,LCM_8,LCM_9
Pocillopora_acuta_HIv2___RNAseq.g27399.t1,37,0,556,0,513,0,0,1190,1387,0
Pocillopora_acuta_HIv2___RNAseq.g27400.t1,91,0,985,24,443,578,1099,33,0,0
Pocillopora_acuta_HIv2___RNAseq.g27405.t1,11,68,117,21,847,987,143,593,0,0
Pocillopora_acuta_HIv2___TS.g10161.t1,0,0,58,70,0,0,0,7,0,0
Pocillopora_acuta_HIv2___RNAseq.g27406.t1,33,374,40,230,20,197,64,215,0,0
Pocillopora_acuta_HIv2___RNAseq.g27407.t1,491,596,229,451,744,587,1080,1127,318,0
Pocillopora_acuta_HIv2___TS.g10164.t1,13,87,11,0,86,16,68,45,0,0
Pocillopora_acuta_HIv2___RNAseq.g27408.t1,12,0,988,652,421,279,0,3,0,0
Pocillopora_acuta_HIv2___RNAseq.g27409.t1,1010,2950,1039,491,1872,2147,2622,2411,499,466
Pocillopora_acuta_HIv2___RNAseq.g27411.t1,222,1261,678,452,585,431,1154,1749,1340,0
Pocillopora_acuta_HIv2___RNAseq.g27413.t1,652,112,2054,0,802,0,0,333,360,0
Pocillopora_acuta_HIv2___TS.g10175.t2a,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10176.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10174.t1,658,0,48,0,570,0,0,1418,0,0
Pocillopora_acuta_HIv2___TS.g10175.t2b,47,20,213,95,159,137,1107,91,0,0
Pocillopora_acuta_HIv2___RNAseq.g27418.t1,643,709,216,669,1192,62,0,602,55,0
Pocillopora_acuta_HIv2___RNAseq.g27419.t1,99,147,289,555,426,0,674,367,756,0
Pocillopora_acuta_HIv2___RNAseq.g27429.t1,0,68,24,17,69,78,0,161,0,0
Pocillopora_acuta_HIv2___RNAseq.g27430.t1,0,0,0,0,0,0,0,46,0,0
Pocillopora_acuta_HIv2___TS.37_t,0,0,0,0,0,0,0,261,0,0
Pocillopora_acuta_HIv2___RNAseq.g27434.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27435.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27436.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27437.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10199.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27440.t1,0,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27441.t1,0,0,0,0,16,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10192.t2,368,1500,337,713,1260,1752,152,1684,33,56
Pocillopora_acuta_HIv2___RNAseq.g27433.t1,45,259,174,539,45,423,114,288,73,429
Pocillopora_acuta_HIv2___TS.g10198.t2,262,83,462,0,1604,142,0,524,767,0
Pocillopora_acuta_HIv2___RNAseq.g27457.t1,50,0,251,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g10216.t2,1180,345,1440,1633,813,1239,2088,1516,1151,456
Pocillopora_acuta_HIv2___RNAseq.g27458.t1,966,0,491,0,1141,0,0,1097,163,0
Pocillopora_acuta_HIv2___RNAseq.g27462.t1,0,0,73,10,133,416,0,125,312,38
Pocillopora_acuta_HIv2___RNAseq.g27461.t1,159,0,115,0,0,0,0,483,0,0
Pocillopora_acuta_HIv2___RNAseq.g27474.t1,213,549,183,180,28,0,2932,0,323,357
Pocillopora_acuta_HIv2___RNAseq.g27481.t1,472,435,231,0,435,558,2128,525,0,332
Pocillopora_acuta_HIv2___RNAseq.g27482.t1,3387,3283,3827,8527,3577,3810,2028,4792,996,1383
Pocillopora_acuta_HIv2___TS.g10243.t2,1674,2548,987,2375,3198,2686,231,3996,4114,74
Pocillopora_acuta_HIv2___RNAseq.g27497.t1,0,0,0,0,288,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g27485.t1,1334,414,824,794,1348,488,1926,1965,891,987
Pocillopora_acuta_HIv2___RNAseq.g27486.t1,611,0,941,0,1212,0,4,14,70,0
Pocillopora_acuta_HIv2___RNAseq.g27498.t1,1693,808,1320,800,991,1685,0,1598,75,0
Pocillopora_acuta_HIv2___RNAseq.g27500.t1,1198,523,1615,603,1431,2317,755,1555,1219,117
Pocillopora_acuta_HIv2___RNAseq.g27501.t1,405,241,954,625,629,697,793,138,139,833
Pocillopora_acuta_HIv2___RNAseq.g27503.t1,0,18,1112,0,348,0,272,10,0,0
Pocillopora_acuta_HIv2___RNAseq.g27507.t1,4,2,6,2,3,2,2,13,0,0
Pocillopora_acuta_HIv2___TS.g10260.t1,24699,42052,18462,0,32131,31202,47579,41593,22329,27818
