Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_LCM_15_S40_R1_001	65.2358351747021	42.0	120.15156218912365	27.27272727272727	34072027.0
trimmed_LCM_15_S40_R2_001	65.64701977866113	42.0	119.77622056357258	27.27272727272727	34072027.0
trimmed_LCM_16_S41_R1_001	70.59733506771636	43.0	121.4607178859447	27.27272727272727	35831040.0
trimmed_LCM_16_S41_R2_001	70.89378301497604	43.0	120.9965493884632	27.27272727272727	35831040.0
trimmed_LCM_20_S42_R1_001	65.44225042169805	43.0	118.37549731673248	27.27272727272727	40540311.0
trimmed_LCM_20_S42_R2_001	65.6564878716774	43.0	118.16819064362876	27.27272727272727	40540311.0
trimmed_LCM_21_S43_R1_001	66.56904076964955	42.0	115.80828164666626	27.27272727272727	31058461.0
trimmed_LCM_21_S43_R2_001	66.7570947445099	43.0	115.62462058245578	27.27272727272727	31058461.0
trimmed_LCM_26_S44_R1_001	59.15865823791857	41.0	121.49832800077643	27.27272727272727	38556238.0
trimmed_LCM_26_S44_R2_001	59.512901117649065	42.0	121.31061074993883	27.27272727272727	38556238.0
trimmed_LCM_27_S45_R1_001	67.67121087414586	43.0	122.36532101048324	27.27272727272727	36379030.0
trimmed_LCM_27_S45_R2_001	67.9576725945503	43.0	121.89090577731181	27.27272727272727	36379030.0
trimmed_LCM_4_S36_R1_001	71.85024260422813	43.0	126.20368418095207	27.27272727272727	35219117.0
trimmed_LCM_4_S36_R2_001	71.89260127842428	43.0	125.40084176443152	27.27272727272727	35219117.0
trimmed_LCM_5_S37_R1_001	57.91373548852366	42.0	123.09881223455686	27.27272727272727	35003965.0
trimmed_LCM_5_S37_R2_001	58.568884444721654	42.0	122.96873894143135	27.27272727272727	35003965.0
trimmed_LCM_8_S38_R1_001	71.55136713099095	43.0	127.34234225599926	27.27272727272727	40483790.0
trimmed_LCM_8_S38_R2_001	71.67854118890645	43.0	126.58650566066072	36.36363636363637	40483790.0
trimmed_LCM_9_S39_R1_001	74.91422044271741	43.0	127.30798894382043	27.27272727272727	33942647.0
trimmed_LCM_9_S39_R2_001	74.90542595027743	43.0	126.3775318112344	36.36363636363637	33942647.0
