Sample,meth_chg,meth_chh,meth_cpg,percent_cpg_meth,total_c,unmeth_chg,unmeth_chh,unmeth_cpg,tot_chg,tot_chh,tot_cpg,unmeth_chg_chh,tot_chg_chh,conversion_efficiency
LCM_11,3709711,17160161,2485485,13.8,127604787,17829237,70847468,15572725,21538948,88007629,18058210,88676705,109546577,0.809488597713099
LCM_12,4148676,19267031,3198394,15,149306484,21134545,83451961,18105877,25283221,102718992,21304271,104586506,128002213,0.817067951786115
LCM_17,6476209,27220408,4899971,19.3,176351943,23854155,93461752,20439448,30330364,120682160,25339419,117315907,151012524,0.776862103172317
LCM_18,9301616,38003887,7674308,20.1,261229063,36123428,139637385,30488439,45425044,177641272,38162747,175760813,223066316,0.787930764947945
LCM_1,2620943,12005866,2012804,8.5,163398268,25660282,99311157,21787216,28281225,111317023,23800020,124971439,139598248,0.89522211625464
LCM_24,4451257,19213106,4854481,5.8,556534005,93344169,355783489,78887503,97795426,374996595,83741984,449127658,472792021,0.949947626125442
LCM_25,3916146,17097816,3606636,8.2,294852516,47475771,182600561,40155586,51391917,199698377,43762222,230076332,251090294,0.916309142558892
LCM_32,4741718,28213999,3117453,17.5,135896777,16703862,68404179,14715566,21445580,96618178,17833019,85108041,118063758,0.720865085456623
LCM_33,3838704,28223724,2133711,30.5,71214781,5115230,27048486,4854926,8953934,55272210,6988637,32163716,64226144,0.500788526242522
LCM_3,6472949,27876590,4929217,26.6,130504993,15705167,61885762,13635308,22178116,89762352,18564525,77590929,111940468,0.693144582886682
