AA_count_genomic	AA_count_sample	AA_coverage	AA_percent_genomic	AA_percent_sample	AC_count_genomic	AC_count_sample	AC_coverage	AC_percent_genomic	AC_percent_sample	AG_count_genomic	AG_count_sample	AG_coverage	AG_percent_genomic	AG_percent_sample	AT_count_genomic	AT_count_sample	AT_coverage	AT_percent_genomic	AT_percent_sample	A_count_genomic	A_count_sample	A_coverage	A_percent_genomic	A_percent_sample	CA_count_genomic	CA_count_sample	CA_coverage	CA_percent_genomic	CA_percent_sample	CC_count_genomic	CC_count_sample	CC_coverage	CC_percent_genomic	CC_percent_sample	CG_count_genomic	CG_count_sample	CG_coverage	CG_percent_genomic	CG_percent_sample	CT_count_genomic	CT_count_sample	CT_coverage	CT_percent_genomic	CT_percent_sample	C_count_genomic	C_count_sample	C_coverage	C_percent_genomic	C_percent_sample	GA_count_genomic	GA_count_sample	GA_coverage	GA_percent_genomic	GA_percent_sample	GC_count_genomic	GC_count_sample	GC_coverage	GC_percent_genomic	GC_percent_sample	GG_count_genomic	GG_count_sample	GG_coverage	GG_percent_genomic	GG_percent_sample	GT_count_genomic	GT_count_sample	GT_coverage	GT_percent_genomic	GT_percent_sample	G_count_genomic	G_count_sample	G_coverage	G_percent_genomic	G_percent_sample	Sample	TA_count_genomic	TA_count_sample	TA_coverage	TA_percent_genomic	TA_percent_sample	TC_count_genomic	TC_count_sample	TC_coverage	TC_percent_genomic	TC_percent_sample	TG_count_genomic	TG_count_sample	TG_coverage	TG_percent_genomic	TG_percent_sample	TT_count_genomic	TT_count_sample	TT_coverage	TT_percent_genomic	TT_percent_sample	T_count_genomic	T_count_sample	T_coverage	T_percent_genomic	T_percent_sample
trimmed_V3_LCM_11_S3_pe	58254240	1.264	11.29	10.90	22612398	29735658	1.315	5.54	5.57	24271378	33176870	1.367	5.94	6.21	33297584	43021813	1.292	8.16	8.05	126259161	165446250	1.310	30.92	30.74	27041619	35037031	1.296	6.62	6.56	15061460	19566253	1.299	3.69	3.66	11381400	15196972	1.335	2.79	2.84	24313227	31932474	1.313	5.95	5.98	77797826	102511773	1.318	19.05	19.05	24790024	33807717	1.364	6.07	6.33	15308284	20201872	1.320	3.75	3.78	15047819	20287103	1.348	3.69	3.80	22647104	30791635	1.360	5.55	5.76	77793347	105591933	1.357	19.05	19.62		28349680	37194688	1.312	6.94	6.96	24815561	32293318	1.301	6.08	6.04	27092644	36097196	1.332	6.64	6.76	46179182	57738333	1.250	11.31	10.81	126437200	164597347	1.302	30.97	30.59
trimmed_V3_LCM_12_S4_pe	73252146	1.590	11.29	11.09	22612398	36623443	1.620	5.54	5.54	24271378	40563605	1.671	5.94	6.14	33297584	53439244	1.605	8.16	8.09	126259161	205450023	1.627	30.92	30.87	27041619	43417724	1.606	6.62	6.57	15061460	24055564	1.597	3.69	3.64	11381400	18716860	1.645	2.79	2.83	24313227	39348077	1.618	5.95	5.96	77797826	126520879	1.626	19.05	19.01	24790024	41608933	1.678	6.07	6.30	15308284	24928524	1.628	3.75	3.77	15047819	25044528	1.664	3.69	3.79	22647104	37639168	1.662	5.55	5.70	77793347	129840262	1.669	19.05	19.51		28349680	45724996	1.613	6.94	6.92	24815561	40018083	1.613	6.08	6.06	27092644	44463833	1.641	6.64	6.73	46179182	71810501	1.555	11.31	10.87	126437200	203636732	1.611	30.97	30.60
trimmed_V3_LCM_17_S7_pe	85451022	1.854	11.29	11.07	22612398	42949552	1.899	5.54	5.57	24271378	47564276	1.960	5.94	6.16	33297584	62195451	1.868	8.16	8.06	126259161	239946555	1.900	30.92	30.88	27041619	50927940	1.883	6.62	6.60	15061460	27911846	1.853	3.69	3.62	11381400	21859695	1.921	2.79	2.83	24313227	45824537	1.885	5.95	5.94	77797826	147642030	1.898	19.05	19.00	24790024	48630461	1.962	6.07	6.30	15308284	29254687	1.911	3.75	3.79	15047819	29183791	1.939	3.69	3.78	22647104	44121335	1.948	5.55	5.72	77793347	151858260	1.952	19.05	19.54		28349680	53291139	1.880	6.94	6.91	24815561	46513859	1.874	6.08	6.03	27092644	52096193	1.923	6.64	6.75	46179182	83885857	1.817	11.31	10.87	126437200	237625699	1.879	30.97	30.58
trimmed_V3_LCM_18_S8_pe	131467486	2.853	11.29	11.19	22612398	65299271	2.888	5.54	5.56	24271378	72227125	2.976	5.94	6.15	33297584	94842722	2.848	8.16	8.07	126259161	366549612	2.903	30.92	30.99	27041619	77667766	2.872	6.62	6.61	15061460	42142469	2.798	3.69	3.59	11381400	33335661	2.929	2.79	2.84	24313227	69247080	2.848	5.95	5.90	77797826	224106617	2.881	19.05	18.95	24790024	74098531	2.989	6.07	6.31	15308284	44659609	2.917	3.75	3.80	15047819	44490719	2.957	3.69	3.79	22647104	66775312	2.949	5.55	5.68	77793347	231016440	2.970	19.05	19.53		28349680	80823468	2.851	6.94	6.88	24815561	70457101	2.839	6.08	6.00	27092644	79202027	2.923	6.64	6.74	46179182	127879449	2.769	11.31	10.89	126437200	361159560	2.856	30.97	30.53
trimmed_V3_LCM_1_S1_pe	77660643	1.685	11.29	10.89	22612398	39323795	1.739	5.54	5.51	24271378	44074209	1.816	5.94	6.18	33297584	57291461	1.721	8.16	8.03	126259161	219998788	1.742	30.92	30.63	27041619	46644098	1.725	6.62	6.54	15061460	25643149	1.703	3.69	3.60	11381400	20445397	1.796	2.79	2.87	24313227	42314955	1.740	5.95	5.93	77797826	136115287	1.750	19.05	18.95	24790024	45150977	1.821	6.07	6.33	15308284	27241471	1.780	3.75	3.82	15047819	27620793	1.836	3.69	3.87	22647104	41350802	1.826	5.55	5.80	77793347	142003563	1.825	19.05	19.77		28349680	49060316	1.731	6.94	6.88	24815561	42965205	1.731	6.08	6.02	27092644	48736186	1.799	6.64	6.83	46179182	77614605	1.681	11.31	10.88	126437200	220048422	1.740	30.97	30.64
trimmed_V3_LCM_24_S5_pe	302291719	6.560	11.29	11.54	22612398	144284076	6.381	5.54	5.51	24271378	162318790	6.688	5.94	6.20	33297584	212325936	6.377	8.16	8.11	126259161	827493400	6.554	30.92	31.38	27041619	171922091	6.358	6.62	6.57	15061460	90277185	5.994	3.69	3.45	11381400	74372708	6.535	2.79	2.84	24313227	150677863	6.197	5.95	5.75	77797826	490932893	6.310	19.05	18.61	24790024	167835670	6.770	6.07	6.41	15308284	99147898	6.477	3.75	3.79	15047819	100784778	6.698	3.69	3.85	22647104	147947192	6.533	5.55	5.65	77793347	518260317	6.662	19.05	19.65		28349680	179654608	6.337	6.94	6.86	24815561	153761261	6.196	6.08	5.87	27092644	176754808	6.524	6.64	6.75	46179182	284311051	6.157	11.31	10.86	126437200	800622187	6.332	30.97	30.36
trimmed_V3_LCM_25_S6_pe	151419001	3.286	11.29	11.25	22612398	74160526	3.280	5.54	5.51	24271378	82973185	3.419	5.94	6.16	33297584	108714572	3.265	8.16	8.08	126259161	420443562	3.330	30.92	31.02	27041619	88311617	3.266	6.62	6.56	15061460	47539124	3.156	3.69	3.53	11381400	38471992	3.380	2.79	2.86	24313227	78710441	3.237	5.95	5.85	77797826	254961938	3.277	19.05	18.81	24790024	85410058	3.445	6.07	6.35	15308284	51214415	3.346	3.75	3.80	15047819	51665629	3.433	3.69	3.84	22647104	76776034	3.390	5.55	5.70	77793347	266342371	3.424	19.05	19.65		28349680	92385350	3.259	6.94	6.86	24815561	80245874	3.234	6.08	5.96	27092644	91164667	3.365	6.64	6.77	46179182	146865469	3.180	11.31	10.91	126437200	413856153	3.273	30.97	30.53
trimmed_V3_LCM_32_S9_pe	57235084	1.242	11.29	10.59	22612398	30945810	1.369	5.54	5.73	24271378	33186676	1.367	5.94	6.14	33297584	44209935	1.328	8.16	8.18	126259161	166846408	1.321	30.92	30.65	27041619	35815934	1.324	6.62	6.63	15061460	20429537	1.356	3.69	3.78	11381400	15080080	1.325	2.79	2.79	24313227	32668874	1.344	5.95	6.04	77797826	104769807	1.347	19.05	19.25	24790024	33809695	1.364	6.07	6.26	15308284	20030926	1.309	3.75	3.71	15047819	20585241	1.368	3.69	3.81	22647104	31380679	1.386	5.55	5.81	77793347	106335309	1.367	19.05	19.53		28349680	38833931	1.370	6.94	7.18	24815561	32664327	1.316	6.08	6.04	27092644	36612528	1.351	6.64	6.77	46179182	57015204	1.235	11.31	10.55	126437200	166396519	1.316	30.97	30.57
trimmed_V3_LCM_33_S10_pe	19504542	0.423	11.29	9.14	22612398	13343571	0.590	5.54	6.25	24271378	12589158	0.519	5.94	5.90	33297584	18485026	0.555	8.16	8.66	126259161	64422524	0.510	30.92	29.96	27041619	14485720	0.536	6.62	6.79	15061460	9559907	0.635	3.69	4.48	11381400	5359327	0.471	2.79	2.51	24313227	14085602	0.579	5.95	6.60	77797826	43843644	0.564	19.05	20.39	24790024	12436497	0.502	6.07	5.83	15308284	7137979	0.466	3.75	3.34	15047819	7150245	0.475	3.69	3.35	22647104	12868039	0.568	5.55	6.03	77793347	39781313	0.511	19.05	18.50		28349680	17533356	0.618	6.94	8.21	24815561	13491074	0.544	6.08	6.32	27092644	14345945	0.530	6.64	6.72	46179182	21079892	0.456	11.31	9.88	126437200	67003371	0.530	30.97	31.16
trimmed_V3_LCM_3_S2_pe	64895789	1.408	11.29	11.02	22612398	32859823	1.453	5.54	5.58	24271378	36206040	1.492	5.94	6.15	33297584	47414781	1.424	8.16	8.05	126259161	182766920	1.448	30.92	30.80	27041619	38998993	1.442	6.62	6.62	15061460	21784898	1.446	3.69	3.70	11381400	16729731	1.470	2.79	2.84	24313227	35223305	1.449	5.95	5.98	77797826	113650839	1.461	19.05	19.15	24790024	37021151	1.493	6.07	6.28	15308284	22338083	1.459	3.75	3.79	15047819	22319132	1.483	3.69	3.79	22647104	33575053	1.483	5.55	5.70	77793347	115833261	1.489	19.05	19.52		28349680	40587141	1.432	6.94	6.89	24815561	35832001	1.444	6.08	6.08	27092644	39595213	1.461	6.64	6.72	46179182	63743071	1.380	11.31	10.82	126437200	181181138	1.433	30.97	30.53
