Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
trimmed_V3_LCM_11_S3_pe	42125183.0	3014967.0	7.16	39110216.0	92.84
trimmed_V3_LCM_12_S4_pe	40845550.0	3682739.0	9.02	37162811.0	90.98
trimmed_V3_LCM_17_S7_pe	55851943.0	4111552.0	7.36	51740391.0	92.64
trimmed_V3_LCM_18_S8_pe	76904391.0	6044068.0	7.86	70860323.0	92.14
trimmed_V3_LCM_1_S1_pe	49065059.0	3801078.0	7.75	45263981.0	92.25
trimmed_V3_LCM_24_S5_pe	104600443.0	13195196.0	12.61	91405247.0	87.39
trimmed_V3_LCM_25_S6_pe	72681599.0	6952170.0	9.57	65729429.0	90.43
trimmed_V3_LCM_32_S9_pe	57396337.0	3273675.0	5.7	54122662.0	94.3
trimmed_V3_LCM_33_S10_pe	25611038.0	1789460.0	6.99	23821578.0	93.01
trimmed_V3_LCM_3_S2_pe	41317458.0	3297186.0	7.98	38020272.0	92.02
