Sample	meth_chg	meth_chh	meth_cpg	percent_cpg_meth	total_c	unmeth_chg	unmeth_chh	unmeth_cpg
trimmed_V3_LCM_11_S3_pe	3709711.0	17160161.0	2485485.0	13.8	127604787.0	17829237.0	70847468.0	15572725.0
trimmed_V3_LCM_12_S4_pe	4148676.0	19267031.0	3198394.0	15.0	149306484.0	21134545.0	83451961.0	18105877.0
trimmed_V3_LCM_17_S7_pe	6476209.0	27220408.0	4899971.0	19.3	176351943.0	23854155.0	93461752.0	20439448.0
trimmed_V3_LCM_18_S8_pe	9301616.0	38003887.0	7674308.0	20.1	261229063.0	36123428.0	139637385.0	30488439.0
trimmed_V3_LCM_1_S1_pe	2620943.0	12005866.0	2012804.0	8.5	163398268.0	25660282.0	99311157.0	21787216.0
trimmed_V3_LCM_24_S5_pe	4451257.0	19213106.0	4854481.0	5.8	556534005.0	93344169.0	355783489.0	78887503.0
trimmed_V3_LCM_25_S6_pe	3916146.0	17097816.0	3606636.0	8.2	294852516.0	47475771.0	182600561.0	40155586.0
trimmed_V3_LCM_32_S9_pe	4741718.0	28213999.0	3117453.0	17.5	135896777.0	16703862.0	68404179.0	14715566.0
trimmed_V3_LCM_33_S10_pe	3838704.0	28223724.0	2133711.0	30.5	71214781.0	5115230.0	27048486.0	4854926.0
trimmed_V3_LCM_3_S2_pe	6472949.0	27876590.0	4929217.0	26.6	130504993.0	15705167.0	61885762.0	13635308.0
