#Coverage	Number of genomic locations
0.0	2.45009687E8
1.0	1.851336E7
2.0	3.0580999E7
3.0	2.8435229E7
4.0	2.6456625E7
5.0	1.2259768E7
6.0	1.4315711E7
7.0	6901096.0
8.0	7619510.0
9.0	3981695.0
10.0	3869656.0
11.0	2220410.0
12.0	2030338.0
13.0	1208627.0
14.0	1076770.0
15.0	672568.0
16.0	584483.0
17.0	380778.0
18.0	330674.0
19.0	221955.0
20.0	193472.0
21.0	140780.0
22.0	120736.0
23.0	93018.0
24.0	77882.0
25.0	62492.0
26.0	55783.0
27.0	44732.0
28.0	40099.0
29.0	33897.0
30.0	30627.0
31.0	26444.0
32.0	24619.0
33.0	21446.0
34.0	20643.0
35.0	17927.0
36.0	17260.0
37.0	15732.0
38.0	14640.0
39.0	13233.0
40.0	12801.0
41.0	11567.0
42.0	11279.0
43.0	10608.0
44.0	10410.0
45.0	9700.0
46.0	9644.0
47.0	8709.0
48.0	8828.0
49.0	7899.0
50.0	7813.0
51.0	7391.0
52.0	7522.0
53.0	7054.0
54.0	7037.0
55.0	6593.0
56.0	6381.0
57.0	6298.0
58.0	6498.0
59.0	5930.0
60.0	5729.0
61.0	5764.0
62.0	5510.0
63.0	5519.0
64.0	5301.0
65.0	5154.0
66.0	5138.0
67.0	4938.0
68.0	4952.0
69.0	4614.0
70.0	4661.0
71.0	4541.0
72.0	4343.0
73.0	4322.0
74.0	4340.0
75.0	3962.0
76.0	3898.0
77.0	4058.0
78.0	3896.0
79.0	3848.0
80.0	3775.0
81.0	3530.0
82.0	3527.0
83.0	3505.0
84.0	3334.0
85.0	3306.0
86.0	3129.0
87.0	3133.0
88.0	3012.0
89.0	3050.0
90.0	2969.0
91.0	2969.0
92.0	2936.0
93.0	2893.0
94.0	2756.0
95.0	2751.0
96.0	2607.0
97.0	2641.0
98.0	2524.0
99.0	2721.0
100.0	2669.0
101.0	2567.0
102.0	2518.0
103.0	2502.0
104.0	2450.0
105.0	2273.0
106.0	2445.0
107.0	2338.0
108.0	2232.0
109.0	2293.0
110.0	2168.0
111.0	2181.0
112.0	2020.0
113.0	1961.0
114.0	2049.0
115.0	2014.0
116.0	2050.0
117.0	1914.0
118.0	1867.0
119.0	1817.0
120.0	1759.0
121.0	1729.0
