#Duplication rate	Coverage
1.0	2134015.0
2.0	1245088.0
3.0	462383.0
4.0	197078.0
5.0	70990.0
6.0	21818.0
7.0	9084.0
8.0	4440.0
9.0	2534.0
10.0	1673.0
11.0	1153.0
12.0	885.0
13.0	689.0
14.0	488.0
15.0	409.0
16.0	363.0
17.0	288.0
18.0	261.0
19.0	213.0
20.0	192.0
21.0	177.0
22.0	145.0
23.0	133.0
24.0	122.0
25.0	107.0
26.0	106.0
27.0	91.0
28.0	93.0
29.0	58.0
30.0	66.0
31.0	72.0
32.0	50.0
33.0	46.0
34.0	45.0
35.0	54.0
36.0	50.0
37.0	36.0
38.0	33.0
39.0	39.0
40.0	34.0
41.0	35.0
42.0	22.0
43.0	22.0
44.0	20.0
45.0	24.0
46.0	18.0
47.0	18.0
48.0	15.0
49.0	26.0
50.0	620.0
