#Mapping quality	mapping quality
0.0	4396470.0
1.0	2072213.0
2.0	1.1276226E7
3.0	3940545.0
4.0	6647211.0
5.0	5796380.0
6.0	3.0625297E7
7.0	2895852.0
8.0	2776507.0
9.0	1850309.0
10.0	1588869.0
11.0	1773070.0
12.0	2221428.0
13.0	1284863.0
14.0	1476173.0
15.0	1756135.0
16.0	1353262.0
17.0	1831078.0
18.0	1894536.0
19.0	1144978.0
20.0	1039984.0
21.0	1780455.0
22.0	1589738.0
23.0	2845130.0
24.0	2614620.0
25.0	1442262.0
26.0	1245688.0
27.0	1094386.0
28.0	1197744.0
29.0	1301299.0
30.0	1551829.0
31.0	1420027.0
32.0	2102619.0
33.0	1977779.0
34.0	1906765.0
35.0	2129017.0
36.0	2832008.0
37.0	2821628.0
38.0	2676369.0
39.0	2377268.0
40.0	5177851.0
41.0	1.3649123E7
42.0	5.6255949E7
