#GC Content (%)	Sample
1.0	2.668386530731941E-7
2.0	0.0
3.0	5.336773061463882E-7
4.0	5.603611714537076E-6
5.0	8.271998245269018E-6
6.0	1.0673546122927762E-5
7.0	3.575637951180801E-5
8.0	7.898424130966546E-5
9.0	1.8972228233504103E-4
10.0	4.7203757728648036E-4
11.0	0.0011348647915202948
12.0	0.002753241222409217
13.0	0.006249361254974206
14.0	0.013264282605615404
15.0	0.025366749715750123
16.0	0.0436305213253449
17.0	0.06578106475560382
18.0	0.0881984468389359
19.0	0.10410523262593516
20.0	0.10971524846814602
21.0	0.10513176092430776
22.0	0.09398030677372589
23.0	0.07877690767622758
24.0	0.06275378023648844
25.0	0.052082635661438316
26.0	0.0317199112067698
27.0	0.026184877026072535
28.0	0.018911389020603412
29.0	0.013808900296537793
30.0	0.010085700570207518
31.0	0.007465344997028752
32.0	0.005670054539152302
33.0	0.004280358833947106
34.0	0.003285050657984093
35.0	0.00257392564754403
36.0	0.002042383050622228
37.0	0.0016469281667677539
38.0	0.0013472683593665571
39.0	0.0011812947171550303
40.0	0.0010265282983725778
41.0	9.224612236740321E-4
42.0	7.863735106067031E-4
43.0	7.660937729731402E-4
44.0	7.498166151356754E-4
45.0	7.687621595038722E-4
46.0	8.101221507302173E-4
47.0	8.901737466521756E-4
48.0	0.0011015099598861455
49.0	0.0014636100121064696
50.0	0.001627448945093411
51.0	0.0015377911576608175
52.0	9.579507645327669E-4
53.0	8.023838297910946E-4
54.0	5.584933008821953E-4
55.0	4.007916569159375E-4
56.0	2.7484381266538994E-4
57.0	1.8625337984508948E-4
58.0	1.2941674674049914E-4
59.0	9.446088318791072E-5
60.0	6.537547000293256E-5
61.0	4.0292636614052306E-5
62.0	3.255431567492968E-5
63.0	2.161393089892872E-5
64.0	1.7077673796684425E-5
65.0	8.805675551415405E-6
66.0	8.005159592195823E-6
67.0	8.53883689834221E-6
68.0	4.5362571022443E-6
69.0	1.0673546122927763E-6
70.0	8.005159592195823E-7
71.0	1.8678705715123588E-6
72.0	5.336773061463882E-7
73.0	8.005159592195823E-7
74.0	5.336773061463882E-7
75.0	2.668386530731941E-7
76.0	0.0
77.0	2.668386530731941E-7
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	2.668386530731941E-7
99.0	0.0
100.0	1.8678705715123588E-6
