#Insert size (bp)	insert size
29.0	19.0
30.0	28.0
31.0	82.0
32.0	209.0
33.0	348.0
34.0	641.0
35.0	1034.0
36.0	1553.0
37.0	2079.0
38.0	2841.0
39.0	3482.0
40.0	6092.0
41.0	6837.0
42.0	6929.0
43.0	6641.0
44.0	6876.0
45.0	6523.0
46.0	6445.0
47.0	6263.0
48.0	6167.0
49.0	5959.0
50.0	5949.0
51.0	5853.0
52.0	5739.0
53.0	5738.0
54.0	5579.0
55.0	5746.0
56.0	5539.0
57.0	5720.0
58.0	5693.0
59.0	5709.0
60.0	6109.0
61.0	6026.0
62.0	5970.0
63.0	5579.0
64.0	6016.0
65.0	5690.0
66.0	5948.0
67.0	5899.0
68.0	5990.0
69.0	5996.0
70.0	6187.0
71.0	6041.0
72.0	6158.0
73.0	6119.0
74.0	6347.0
75.0	6263.0
76.0	6222.0
77.0	6220.0
78.0	6341.0
79.0	6309.0
80.0	6483.0
81.0	6321.0
82.0	6300.0
83.0	6287.0
84.0	6390.0
85.0	6183.0
86.0	6407.0
87.0	6594.0
88.0	6492.0
89.0	6022.0
90.0	6212.0
91.0	6271.0
92.0	6561.0
93.0	6343.0
94.0	6528.0
95.0	6238.0
96.0	6441.0
97.0	6493.0
98.0	6441.0
99.0	6613.0
100.0	6443.0
101.0	6348.0
102.0	6455.0
103.0	6417.0
104.0	6827.0
105.0	6658.0
106.0	6610.0
107.0	6408.0
108.0	6469.0
109.0	6414.0
110.0	6737.0
111.0	6753.0
112.0	6783.0
113.0	6771.0
114.0	6599.0
115.0	6685.0
116.0	6650.0
117.0	6887.0
118.0	6868.0
119.0	7036.0
120.0	7216.0
121.0	6878.0
122.0	7060.0
123.0	7550.0
124.0	7280.0
125.0	7312.0
126.0	7778.0
127.0	7632.0
128.0	7718.0
129.0	8061.0
130.0	8257.0
131.0	8289.0
132.0	8471.0
133.0	8705.0
134.0	8588.0
135.0	8754.0
136.0	8922.0
137.0	9383.0
138.0	9399.0
139.0	9739.0
140.0	9554.0
141.0	9959.0
142.0	9871.0
143.0	10427.0
144.0	10630.0
145.0	10921.0
146.0	11153.0
147.0	11417.0
148.0	11260.0
149.0	7761.0
150.0	9836.0
151.0	21681.0
152.0	17123.0
153.0	12600.0
154.0	12139.0
155.0	11725.0
156.0	11880.0
157.0	11513.0
158.0	11530.0
159.0	11369.0
160.0	11421.0
161.0	11188.0
162.0	11490.0
163.0	11378.0
164.0	11525.0
165.0	11343.0
166.0	11203.0
167.0	11281.0
168.0	11380.0
169.0	11191.0
170.0	11229.0
171.0	10894.0
172.0	11201.0
173.0	10966.0
174.0	11077.0
175.0	11067.0
176.0	11052.0
177.0	10994.0
178.0	11021.0
179.0	11060.0
180.0	11061.0
181.0	10973.0
182.0	10823.0
183.0	11033.0
184.0	11197.0
185.0	10979.0
186.0	10847.0
187.0	11027.0
188.0	10880.0
189.0	10999.0
190.0	10920.0
191.0	10930.0
192.0	11127.0
193.0	11138.0
194.0	10880.0
195.0	10799.0
196.0	10843.0
197.0	10601.0
198.0	10648.0
199.0	10695.0
200.0	10921.0
201.0	10919.0
202.0	10886.0
203.0	10688.0
204.0	10618.0
205.0	10595.0
206.0	10744.0
207.0	10840.0
208.0	10917.0
209.0	10712.0
210.0	10617.0
211.0	10653.0
212.0	10694.0
213.0	10685.0
214.0	10547.0
215.0	10547.0
216.0	10607.0
217.0	10665.0
218.0	10559.0
219.0	10459.0
220.0	10373.0
221.0	10328.0
222.0	10654.0
223.0	10339.0
224.0	10299.0
225.0	10453.0
226.0	10331.0
227.0	10487.0
228.0	10466.0
229.0	10508.0
230.0	10446.0
231.0	10452.0
232.0	10264.0
233.0	10076.0
234.0	10066.0
235.0	10108.0
236.0	9952.0
237.0	9999.0
238.0	9868.0
239.0	9892.0
240.0	10179.0
241.0	9966.0
242.0	10168.0
243.0	10124.0
244.0	9933.0
245.0	9942.0
246.0	9679.0
247.0	9662.0
248.0	9793.0
249.0	9769.0
250.0	9690.0
251.0	9600.0
252.0	9545.0
253.0	9600.0
254.0	9680.0
255.0	9704.0
256.0	9525.0
257.0	9311.0
258.0	9406.0
259.0	9308.0
260.0	9426.0
261.0	9343.0
262.0	9421.0
263.0	9339.0
264.0	9158.0
265.0	8972.0
266.0	9172.0
267.0	9152.0
268.0	9345.0
269.0	9084.0
270.0	9238.0
271.0	9212.0
272.0	9093.0
273.0	9066.0
274.0	8932.0
275.0	8726.0
276.0	8796.0
277.0	8896.0
278.0	8853.0
279.0	8941.0
280.0	8980.0
281.0	8699.0
282.0	8683.0
283.0	8695.0
284.0	8661.0
285.0	8508.0
286.0	8436.0
287.0	8346.0
288.0	8464.0
289.0	8275.0
290.0	8409.0
291.0	8426.0
292.0	8372.0
293.0	8125.0
294.0	8204.0
295.0	8260.0
296.0	8371.0
297.0	8282.0
298.0	7854.0
299.0	8006.0
300.0	7963.0
301.0	7898.0
302.0	7993.0
303.0	7766.0
304.0	7558.0
305.0	7621.0
306.0	7762.0
307.0	7685.0
308.0	7705.0
309.0	7605.0
310.0	7767.0
311.0	7459.0
312.0	7341.0
313.0	7260.0
314.0	7265.0
315.0	7290.0
316.0	7355.0
317.0	7333.0
318.0	7205.0
319.0	7078.0
320.0	7086.0
321.0	7060.0
322.0	7064.0
323.0	6939.0
324.0	6982.0
325.0	7157.0
326.0	7172.0
327.0	6892.0
328.0	6634.0
329.0	6660.0
330.0	6848.0
331.0	6834.0
332.0	6829.0
333.0	6624.0
334.0	6752.0
335.0	6656.0
336.0	6601.0
337.0	6635.0
338.0	6719.0
339.0	6606.0
340.0	6537.0
341.0	6581.0
342.0	6601.0
343.0	6490.0
344.0	6412.0
345.0	6335.0
346.0	6385.0
347.0	6146.0
348.0	6175.0
349.0	6192.0
350.0	6200.0
351.0	6150.0
352.0	6140.0
353.0	6026.0
354.0	6078.0
355.0	6138.0
356.0	5925.0
357.0	5915.0
358.0	5940.0
359.0	5970.0
360.0	5813.0
361.0	5704.0
362.0	5884.0
363.0	5838.0
364.0	5765.0
365.0	5715.0
366.0	5624.0
367.0	5583.0
368.0	5587.0
369.0	5546.0
370.0	5649.0
371.0	5541.0
372.0	5359.0
373.0	5378.0
374.0	5492.0
375.0	5333.0
376.0	5258.0
377.0	5147.0
378.0	5190.0
379.0	5279.0
380.0	5382.0
381.0	5233.0
382.0	5158.0
383.0	5066.0
384.0	5146.0
385.0	4895.0
386.0	4859.0
387.0	4924.0
388.0	5127.0
389.0	4994.0
390.0	4905.0
391.0	4800.0
392.0	4837.0
393.0	4812.0
394.0	4815.0
395.0	4737.0
396.0	4803.0
397.0	4845.0
398.0	4751.0
399.0	4722.0
400.0	4554.0
401.0	4541.0
402.0	4593.0
403.0	4588.0
404.0	4501.0
405.0	4543.0
406.0	4334.0
407.0	4447.0
408.0	4457.0
409.0	4405.0
410.0	4360.0
411.0	4271.0
412.0	4324.0
413.0	4255.0
414.0	4299.0
415.0	4224.0
416.0	4286.0
417.0	4216.0
418.0	4115.0
419.0	4047.0
420.0	4027.0
421.0	4010.0
422.0	4041.0
