Module	Section	Sample Name	Source
QualiMap	genome_results	trimmed_V3_LCM_11_S3_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_11_S3_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_12_S4_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_12_S4_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_17_S7_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_17_S7_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_18_S8_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_18_S8_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_1_S1_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_1_S1_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_24_S5_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_24_S5_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_25_S6_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_25_S6_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_32_S9_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_32_S9_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_33_S10_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_33_S10_pe.deduplicated.sorted/genome_results.txt
QualiMap	genome_results	trimmed_V3_LCM_3_S2_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_3_S2_pe.deduplicated.sorted/genome_results.txt
QualiMap	coverage_histogram	trimmed_V3_LCM_11_S3_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_11_S3_pe.deduplicated.sorted/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	trimmed_V3_LCM_12_S4_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_12_S4_pe.deduplicated.sorted/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	trimmed_V3_LCM_17_S7_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_17_S7_pe.deduplicated.sorted/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	trimmed_V3_LCM_18_S8_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_18_S8_pe.deduplicated.sorted/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	trimmed_V3_LCM_1_S1_pe	/project/pi_hputnam_uri_edu/zdellaert/LaserCoral/output_WGBS/dedup_V3/qualimap/bamqc/trimmed_V3_LCM_1_S1_pe.deduplicated.sorted/raw_data_qualimapReport/coverage_histogram.txt
