CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	12015	21712	35.62	33727
2	11113	25962	29.97	37075
3	13828	29487	31.92	43315
4	11395	26294	30.23	37689
5	11021	24295	31.21	35316
6	10799	22907	32.04	33706
7	10852	22677	32.37	33529
8	10112	21871	31.62	31983
9	10645	22235	32.38	32880
10	9922	22343	30.75	32265
11	10963	23768	31.57	34731
12	9482	22737	29.43	32219
13	10488	23256	31.08	33744
14	10012	22535	30.76	32547
15	10670	22948	31.74	33618
16	9816	22360	30.51	32176
17	10622	22819	31.76	33441
18	10126	22023	31.50	32149
19	10488	22965	31.35	33453
20	10684	22829	31.88	33513
21	11065	22965	32.52	34030
22	9436	22726	29.34	32162
23	10600	23902	30.72	34502
24	9602	22191	30.20	31793
25	9954	23069	30.14	33023
26	9116	22360	28.96	31476
27	10018	23664	29.74	33682
28	9595	22265	30.12	31860
29	10509	22792	31.56	33301
30	9354	22004	29.83	31358
31	9930	22842	30.30	32772
32	9477	22530	29.61	32007
33	9870	22551	30.44	32421
34	9008	22537	28.56	31545
35	10051	23482	29.97	33533
36	9684	22312	30.27	31996
37	10502	22485	31.84	32987
38	9466	22654	29.47	32120
39	10340	23827	30.26	34167
40	9862	22556	30.42	32418
41	10276	23088	30.80	33364
42	9493	22276	29.88	31769
43	10231	23421	30.40	33652
44	9354	22732	29.15	32086
45	10313	22209	31.71	32522
46	9658	22580	29.96	32238
47	9950	23520	29.73	33470
48	9799	21961	30.85	31760
49	10150	22497	31.09	32647
50	9596	21834	30.53	31430
51	10118	21652	31.85	31770
52	9665	21847	30.67	31512
53	10204	22851	30.87	33055
54	9259	21601	30.00	30860
55	10107	23094	30.44	33201
56	9460	22723	29.39	32183
57	10091	21662	31.78	31753
58	9611	20737	31.67	30348
59	10465	22258	31.98	32723
60	9629	21162	31.27	30791
61	10133	21054	32.49	31187
62	9291	21649	30.03	30940
63	10044	21793	31.55	31837
64	9877	20645	32.36	30522
65	10167	20793	32.84	30960
66	9324	20763	30.99	30087
67	9923	22201	30.89	32124
