"","LCM_1","LCM_11","LCM_12","LCM_17","LCM_18","LCM_24","LCM_25","LCM_3","LCM_32","LCM_33"
"Pocillopora_acuta_HIv2___TS.g10153.t1",17.80769231,78.08333333,25,82.48148148,29.2,5.71875,6.204545455,20,77.52380952,39.25
"Pocillopora_acuta_HIv2___RNAseq.g27398.t1",NA,NA,NA,NA,40,3.483870968,24.5,NA,NA,100
"Pocillopora_acuta_HIv2___RNAseq.g27399.t1",0,NA,0,28.22222222,0,4.980769231,100,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27400.t1",44.94444444,0,0,4.444444444,45.73333333,1.62037037,7.157894737,0,NA,10
"Pocillopora_acuta_HIv2___TS.g10157.t2",NA,NA,NA,2.857142857,2,3.869565217,25,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27403.t1",28.2,28.5,51,57,16.66666667,2.981308411,4.375,45.5,44.5,57.5
"Pocillopora_acuta_HIv2___TS.g10159.t1",62,5.083333333,65.5,0,9.5,2.857142857,5.318181818,NA,40,18.5
"Pocillopora_acuta_HIv2___RNAseq.g27405.t1",NA,80,0,6.727272727,0,8.8,31.81818182,NA,20,NA
"Pocillopora_acuta_HIv2___TS.g10161.t1",NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27406.t1",0,NA,NA,NA,12,4.251851852,43.88888889,0,0,25
"Pocillopora_acuta_HIv2___RNAseq.g27407.t1",NA,NA,NA,NA,NA,25,100,NA,100,NA
"Pocillopora_acuta_HIv2___TS.g10164.t1",NA,NA,NA,NA,NA,0,0,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27408.t1",17.14285714,93.5,62.5,80,11.42857143,6.451612903,8.461538462,69.33333333,3.2,0
"Pocillopora_acuta_HIv2___RNAseq.g27409.t1",NA,NA,NA,NA,NA,0,27.5,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27410.t1",NA,NA,NA,NA,NA,5.142857143,20,NA,NA,100
"Pocillopora_acuta_HIv2___RNAseq.g27411.t1",100,0,28,NA,40,19.94444444,20,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10169.t1",3.5,2,0,NA,2.45,4.010869565,2.857142857,NA,0,NA
"Pocillopora_acuta_HIv2___TS.g10170.t1",NA,0,NA,NA,0,40,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10171.t1",NA,NA,NA,NA,20,1.509433962,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10172.t1",0,NA,NA,NA,15.32,2.778947368,2.5,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27413.t1",8.615384615,NA,9.6,10,30,5.352112676,0,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g10174.t1",1.518518519,46.15384615,7.5625,12.5,18.75675676,5.392749245,0.625,0,33.46666667,7.25
