Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
LCM_11_S3_R1_001	LCM_11_S3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	264104367.0	39.8 Gbp	0.0	151.0	55.0	10.462219283872297	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
LCM_11_S3_R2_001	LCM_11_S3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	264104367.0	39.8 Gbp	0.0	151.0	52.0	14.269011837996837	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
LCM_12_S4_R1_001	LCM_12_S4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	362388001.0	54.7 Gbp	0.0	151.0	63.0	8.039514970817095	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
LCM_12_S4_R2_001	LCM_12_S4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	362388001.0	54.7 Gbp	0.0	151.0	60.0	12.519382102480115	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
LCM_17_S7_R1_001	LCM_17_S7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214927280.0	32.4 Gbp	0.0	151.0	39.0	15.086548321789161	151.0	pass	pass	warn	pass	warn	warn	pass	pass	fail	fail	fail
LCM_17_S7_R2_001	LCM_17_S7_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214927280.0	32.4 Gbp	0.0	151.0	38.0	16.403173711826643	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	fail	fail
LCM_18_S8_R1_001	LCM_18_S8_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	226659456.0	34.2 Gbp	0.0	151.0	36.0	15.304271944135966	151.0	pass	pass	warn	pass	warn	fail	pass	pass	fail	fail	fail
LCM_18_S8_R2_001	LCM_18_S8_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	226659456.0	34.2 Gbp	0.0	151.0	36.0	16.30281805744932	151.0	pass	pass	fail	pass	warn	fail	pass	pass	fail	fail	fail
LCM_1_S1_R1_001	LCM_1_S1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	278172983.0	42 Gbp	0.0	151.0	56.0	10.181425555854657	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
LCM_1_S1_R2_001	LCM_1_S1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	278172983.0	42 Gbp	0.0	151.0	52.0	14.034399285142321	151.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
