Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_V2_LCM_11_S3_R1_001	84.36175478241181	36.0	134.76315195899844	18.181818181818183	162853857.0
trimmed_V2_LCM_11_S3_R2_001	82.10702107444446	36.0	134.02382860972094	27.27272727272727	162853857.0
trimmed_V2_LCM_12_S4_R1_001	83.83441679916606	35.0	122.22991874996261	27.27272727272727	160284357.0
trimmed_V2_LCM_12_S4_R2_001	81.67543118264135	35.0	121.70403188503292	36.36363636363637	160284357.0
trimmed_V2_LCM_17_S7_R1_001	83.95394838361486	35.0	145.2991803367606	9.090909090909092	203725374.0
trimmed_V2_LCM_17_S7_R2_001	82.69096164753489	35.0	144.71358536811422	18.181818181818183	203725374.0
trimmed_V2_LCM_18_S8_R1_001	83.60256699751687	33.0	145.44769334093104	18.181818181818183	213743139.0
trimmed_V2_LCM_18_S8_R2_001	82.62084223246927	33.0	144.9096435886066	27.27272727272727	213743139.0
trimmed_V2_LCM_1_S1_R1_001	83.30652985880747	34.0	134.38737816159266	18.181818181818183	159944228.0
trimmed_V2_LCM_1_S1_R2_001	81.09834010896809	34.0	133.73284133766927	27.27272727272727	159944228.0
trimmed_V2_LCM_24_S5_R1_001	80.43732246015863	26.0	130.45775628895353	27.27272727272727	202882720.0
trimmed_V2_LCM_24_S5_R2_001	80.07502053118212	27.0	130.2022963907424	36.36363636363637	202882720.0
trimmed_V2_LCM_25_S6_R1_001	82.61294745434068	31.0	127.86806948944356	27.27272727272727	185469092.0
trimmed_V2_LCM_25_S6_R2_001	81.81014403579414	31.0	127.5223553151379	36.36363636363637	185469092.0
trimmed_V2_LCM_32_S9_R1_001	86.21982448151893	38.0	145.62335634634684	9.090909090909092	205472728.0
trimmed_V2_LCM_32_S9_R2_001	83.9226062984168	38.0	144.77451021626578	18.181818181818183	205472728.0
trimmed_V2_LCM_33_S10_R1_001	86.8230410129188	42.0	143.6022358161781	9.090909090909092	169627183.0
trimmed_V2_LCM_33_S10_R2_001	83.80132315328049	42.0	142.4859001578774	18.181818181818183	169627183.0
trimmed_V2_LCM_3_S2_R1_001	84.14978939379952	37.0	124.57001227936675	27.27272727272727	148424592.0
trimmed_V2_LCM_3_S2_R2_001	83.29077889500765	37.0	124.10039182725191	36.36363636363637	148424592.0
