Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
trimmed_LCM_11_S3_R1_001	84.18693255707618	37.0	135.54676722773064	18.181818181818183	163793149.0
trimmed_LCM_11_S3_R2_001	81.74544890700462	37.0	135.43763064839789	27.27272727272727	163793149.0
trimmed_LCM_12_S4_R1_001	83.5374520224069	36.0	123.26794419611731	27.27272727272727	161572270.0
trimmed_LCM_12_S4_R2_001	80.97712684766812	36.0	124.1138497589964	36.36363636363637	161572270.0
trimmed_LCM_17_S7_R1_001	83.90935771375484	36.0	145.7518314754652	9.090909090909092	204223320.0
trimmed_LCM_17_S7_R2_001	82.6333488209621	36.0	145.12352300413096	18.181818181818183	204223320.0
trimmed_LCM_18_S8_R1_001	83.57681284647927	33.0	145.87535044763084	18.181818181818183	214267749.0
trimmed_LCM_18_S8_R2_001	82.5800107858008	33.0	145.29427081907693	27.27272727272727	214267749.0
trimmed_LCM_1_S1_R1_001	83.1707420145215	34.0	135.1222843680039	18.181818181818183	160781450.0
trimmed_LCM_1_S1_R2_001	80.77688811761564	35.0	135.05590660489753	27.27272727272727	160781450.0
trimmed_LCM_24_S5_R1_001	80.28352554248292	27.0	131.15419723349558	27.27272727272727	203851835.0
trimmed_LCM_24_S5_R2_001	79.74016307429618	27.0	131.39249544160344	36.36363636363637	203851835.0
trimmed_LCM_25_S6_R1_001	82.474837244268	31.0	128.86570956553575	27.27272727272727	186592821.0
trimmed_LCM_25_S6_R2_001	81.3209303501096	31.0	129.39200122281233	36.36363636363637	186592821.0
trimmed_LCM_32_S9_R1_001	86.17949788432907	38.0	146.07290386577063	9.090909090909092	205983302.0
trimmed_LCM_32_S9_R2_001	83.89059339175532	38.0	145.235192855584	18.181818181818183	205983302.0
trimmed_LCM_33_S10_R1_001	86.74868848787122	42.0	144.22421448019222	9.090909090909092	170240392.0
trimmed_LCM_33_S10_R2_001	83.75521511674	42.0	143.1212008663608	18.181818181818183	170240392.0
trimmed_LCM_3_S2_R1_001	83.91130770713977	37.0	125.48801075480137	27.27272727272727	149445438.0
trimmed_LCM_3_S2_R2_001	82.72036476953502	38.0	126.21018624201831	36.36363636363637	149445438.0
trimmed_Undetermined_S0_R1_001	49.052311130985125	42.0	119.42813525805282	9.090909090909092	183173774.0
trimmed_Undetermined_S0_R2_001	49.849284411986176	47.0	126.15817085255884	36.36363636363637	183173774.0
