#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_1	2	2	4	1.0
OG_2	2	2	4	1.0
OG_3	2	2	3	1.0
OG_4	2	2	3	1.0
OG_5	2	2	3	1.0
OG_6	2	2	3	1.0
OG_7	2	2	3	1.0
OG_8	2	2	4	1.0
OG_9	2	2	3	1.0
OG_10	2	2	3	1.0
OG_11	2	2	4	1.0
OG_12	2	2	3	1.0
OG_13	2	2	5	1.0
OG_14	2	2	3	1.0
OG_15	2	2	3	1.0
OG_16	2	2	5	1.0
OG_17	2	2	3	1.0
OG_18	2	2	3	1.0
OG_19	2	2	4	1.0
OG_20	2	2	3	1.0
OG_21	2	2	4	1.0
OG_22	2	2	3	1.0
OG_23	2	2	3	1.0
OG_24	2	2	4	1.0
OG_25	2	2	3	1.0
OG_26	2	2	3	1.0
OG_27	2	8	13	0.9286
OG_28	2	2	3	1.0
OG_29	2	2	3	1.0
OG_30	2	2	3	1.0
OG_31	2	2	4	1.0
OG_32	2	2	3	1.0
OG_33	2	2	4	1.0
OG_34	2	2	4	1.0
OG_35	2	2	3	1.0
OG_36	2	2	4	1.0
OG_37	2	2	7	1.0
OG_38	2	2	3	1.0
OG_39	2	2	4	1.0
OG_40	2	2	5	1.0
OG_41	2	2	6	1.0
OG_42	2	2	4	1.0
OG_43	2	2	3	1.0
OG_44	2	2	3	1.0
OG_45	2	2	3	1.0
OG_46	2	2	3	1.0
OG_47	2	2	3	1.0
OG_48	2	2	9	1.0
OG_49	2	2	3	1.0
OG_50	2	2	3	1.0
OG_51	2	2	3	1.0
OG_52	2	2	3	1.0
OG_53	2	2	3	1.0
OG_54	2	2	3	1.0
OG_55	2	2	3	1.0
OG_56	2	2	5	1.0
OG_57	2	2	3	1.0
OG_58	2	2	6	1.0
OG_59	2	2	4	1.0
OG_60	2	2	4	1.0
OG_61	2	2	3	1.0
OG_62	2	2	3	1.0
OG_63	2	2	7	1.0
OG_64	2	2	4	1.0
OG_65	2	2	3	1.0
OG_66	2	2	3	1.0
OG_67	2	2	3	1.0
OG_68	2	2	4	1.0
OG_69	2	2	4	1.0
OG_70	2	2	3	1.0
OG_71	2	2	4	1.0
OG_72	2	2	4	1.0
OG_73	2	2	3	1.0
OG_74	2	2	3	1.0
OG_75	2	2	3	1.0
OG_76	2	2	3	1.0
OG_77	2	2	3	1.0
OG_78	2	2	3	1.0
OG_79	2	2	5	1.0
