#OG_name	Spis_proteins.faa	Pacu_proteins.faa
OG_1	3	1
OG_2	3	1
OG_3	2	1
OG_4	2	1
OG_5	2	1
OG_6	2	1
OG_7	2	1
OG_8	3	1
OG_9	2	1
OG_10	2	1
OG_11	3	1
OG_12	2	1
OG_13	4	1
OG_14	2	1
OG_15	2	1
OG_16	4	1
OG_17	2	1
OG_18	2	1
OG_19	3	1
OG_20	2	1
OG_21	3	1
OG_22	2	1
OG_23	2	1
OG_24	3	1
OG_25	2	1
OG_26	2	1
OG_27	12	1
OG_28	2	1
OG_29	2	1
OG_30	2	1
OG_31	3	1
OG_32	2	1
OG_33	3	1
OG_34	3	1
OG_35	2	1
OG_36	3	1
OG_37	6	1
OG_38	2	1
OG_39	3	1
OG_40	4	1
OG_41	5	1
OG_42	3	1
OG_43	2	1
OG_44	2	1
OG_45	2	1
OG_46	2	1
OG_47	2	1
OG_48	8	1
OG_49	2	1
OG_50	2	1
OG_51	2	1
OG_52	2	1
OG_53	2	1
OG_54	2	1
OG_55	2	1
OG_56	4	1
OG_57	2	1
OG_58	5	1
OG_59	3	1
OG_60	3	1
OG_61	2	1
OG_62	2	1
OG_63	5	2
OG_64	3	1
OG_65	2	1
OG_66	2	1
OG_67	2	1
OG_68	3	1
OG_69	3	1
OG_70	2	1
OG_71	3	1
OG_72	3	1
OG_73	2	1
OG_74	2	1
OG_75	2	1
OG_76	2	1
OG_77	2	1
OG_78	2	1
OG_79	4	1
OG_80	2	1
OG_81	5	1
OG_82	2	1
OG_83	4	1
OG_84	2	1
OG_85	3	1
OG_86	3	1
OG_87	2	1
OG_88	4	1
OG_89	2	1
OG_90	3	1
OG_91	2	1
OG_92	3	1
OG_93	3	1
OG_94	3	1
OG_95	2	1
OG_96	2	1
OG_97	2	1
OG_98	2	1
OG_99	8	1
OG_100	2	1
OG_101	6	1
OG_102	2	1
OG_103	2	1
OG_104	2	1
OG_105	5	1
OG_106	2	1
OG_107	3	1
OG_108	3	1
OG_109	2	1
OG_110	2	1
OG_111	2	1
OG_112	8	1
OG_113	5	1
OG_114	3	1
OG_115	3	1
OG_116	2	1
OG_117	2	1
OG_118	4	1
OG_119	2	1
OG_120	2	1
OG_121	2	1
OG_122	3	1
OG_123	2	1
OG_124	2	1
OG_125	5	1
OG_126	4	1
OG_127	2	1
OG_128	2	1
OG_129	2	1
OG_130	3	1
OG_131	2	1
OG_132	2	1
OG_133	2	1
OG_134	2	1
OG_135	6	1
OG_136	2	1
OG_137	2	1
OG_138	3	1
OG_139	2	1
OG_140	2	2
OG_141	2	1
OG_142	2	1
OG_143	4	1
OG_144	3	1
OG_145	2	1
OG_146	2	1
OG_147	3	1
OG_148	3	1
OG_149	5	1
OG_150	2	1
OG_151	2	1
OG_152	2	1
OG_153	2	1
OG_154	3	1
OG_155	2	1
OG_156	3	1
OG_157	2	1
OG_158	2	1
OG_159	2	1
OG_160	2	1
OG_161	2	1
OG_162	2	1
OG_163	2	1
OG_164	4	1
OG_165	3	1
OG_166	2	1
OG_167	2	1
OG_168	3	1
OG_169	2	1
OG_170	2	2
OG_171	2	1
OG_172	3	1
OG_173	2	1
OG_174	2	1
OG_175	2	1
OG_176	2	1
OG_177	2	1
OG_178	2	1
OG_179	2	1
OG_180	4	1
OG_181	2	1
OG_182	2	1
OG_183	5	1
OG_184	3	1
OG_185	2	1
OG_186	2	1
OG_187	2	1
OG_188	2	1
OG_189	2	1
OG_190	3	1
OG_191	3	1
OG_192	2	1
OG_193	2	1
OG_194	2	1
OG_195	5	1
OG_196	2	1
OG_197	10	1
OG_198	2	1
OG_199	2	1
OG_200	2	1
OG_201	2	1
OG_202	2	1
OG_203	3	1
OG_204	3	1
OG_205	2	1
OG_206	2	1
OG_207	2	1
OG_208	2	1
OG_209	2	1
OG_210	4	1
OG_211	2	1
OG_212	3	1
OG_213	3	1
OG_214	3	1
OG_215	2	1
OG_216	3	1
OG_217	3	1
OG_218	3	1
OG_219	2	1
OG_220	2	1
OG_221	2	1
OG_222	2	1
OG_223	2	1
OG_224	2	1
OG_225	3	1
OG_226	2	1
OG_227	2	1
OG_228	3	1
OG_229	2	1
OG_230	2	1
OG_231	2	1
OG_232	2	1
OG_233	2	1
OG_234	3	1
OG_235	3	1
OG_236	2	1
OG_237	2	1
OG_238	5	1
OG_239	2	1
OG_240	4	1
OG_241	2	1
OG_242	2	1
OG_243	4	1
OG_244	2	1
OG_245	2	1
OG_246	2	1
OG_247	2	1
OG_248	2	1
OG_249	4	1
OG_250	2	1
OG_251	2	1
OG_252	4	1
OG_253	5	1
OG_254	2	1
OG_255	1	1
OG_256	3	1
OG_257	3	1
OG_258	2	1
OG_259	4	1
OG_260	3	1
OG_261	2	1
OG_262	2	1
OG_263	2	1
OG_264	2	1
OG_265	3	1
OG_266	2	1
OG_267	7	1
OG_268	4	1
OG_269	2	1
OG_270	2	1
OG_271	2	1
OG_272	2	1
OG_273	2	1
OG_274	3	1
OG_275	2	1
OG_276	2	1
OG_277	2	1
OG_278	3	1
OG_279	2	1
OG_280	2	1
OG_281	2	1
OG_282	6	1
OG_283	2	1
OG_284	2	1
OG_285	3	1
OG_286	4	1
OG_287	4	1
OG_288	4	1
OG_289	2	1
OG_290	2	3
OG_291	3	1
OG_292	2	1
OG_293	3	1
OG_294	2	1
OG_295	2	1
OG_296	3	1
OG_297	2	1
OG_298	2	1
OG_299	2	1
OG_300	2	1
OG_301	3	1
OG_302	2	1
OG_303	5	1
OG_304	2	1
OG_305	2	1
OG_306	2	1
OG_307	2	1
OG_308	2	1
OG_309	3	1
OG_310	3	1
OG_311	3	1
OG_312	3	1
OG_313	2	1
OG_314	5	1
OG_315	2	1
OG_316	2	1
OG_317	2	1
OG_318	2	1
OG_319	2	1
OG_320	2	1
OG_321	2	1
OG_322	3	1
OG_323	2	1
OG_324	3	1
OG_325	2	1
OG_326	2	1
OG_327	2	1
OG_328	3	1
OG_329	2	1
OG_330	2	1
OG_331	3	1
OG_332	3	1
OG_333	2	1
OG_334	2	1
OG_335	2	1
OG_336	2	1
OG_337	2	1
OG_338	2	1
OG_339	2	1
OG_340	2	1
OG_341	5	1
OG_342	2	1
OG_343	2	1
OG_344	2	1
OG_345	3	1
OG_346	3	1
OG_347	2	1
OG_348	2	1
OG_349	2	1
OG_350	2	1
OG_351	3	1
OG_352	2	1
OG_353	5	1
OG_354	2	1
OG_355	2	1
OG_356	2	1
OG_357	3	1
OG_358	2	1
OG_359	3	1
OG_360	2	1
OG_361	2	1
OG_362	2	1
OG_363	2	1
OG_364	4	1
OG_365	2	1
OG_366	2	1
OG_367	3	1
OG_368	2	1
OG_369	7	1
OG_370	3	1
OG_371	2	1
OG_372	7	1
OG_373	2	1
OG_374	2	1
OG_375	3	1
OG_376	2	1
OG_377	7	1
OG_378	4	1
OG_379	3	2
OG_380	3	1
OG_381	2	1
OG_382	3	1
OG_383	2	1
OG_384	2	1
OG_385	2	1
OG_386	2	1
OG_387	2	1
OG_388	2	1
OG_389	2	1
OG_390	2	1
OG_391	2	1
OG_392	3	1
OG_393	2	1
OG_394	2	1
OG_395	3	1
OG_396	3	1
OG_397	3	1
OG_398	2	1
OG_399	2	1
OG_400	3	1
