label,category,citation,Paper ref
Stylophora pistillata,Published scRNA-seq,Levy et al. 2021,31
Nematostella vectensis,Published scRNA-seq,Sebe-Pedros et al. 2018; Cole et al. 2024,32;37
Exaiptasia diaphana,Published scRNA-seq,Cui et al. 2023,33
Xenia sp.,Published scRNA-seq,Hu et al. 2020; 2023,34-35
Aurelia coerulea,Published scRNA-seq,Li et al. 2026,36
Hydra vulgaris,Published scRNA-seq,Siebert et al. 2019,38
Hydractinia symbiolongicarpus,Published scRNA-seq,Salamanca-Diaz et al. 2025,39
Oculina patagonica,Published scRNA-seq,Levy et al. 2025; Valadez-Ingersoll et al. 2025,40; 187
Acropora muricata,Published scRNA-seq,Han et al. 2025,41
Pocillopora acuta,Laser capture microdissection (This study),LCM: This study; scRNA: Ramon-Mateu et al. 2025,42
Astroides calycularis,Published scRNA-seq,Ramon-Mateu et al. 2025 ,42
Clytia hemisphaerica,Published scRNA-seq,Ramon-Mateu et al. 2025 ,42
Orbicella faveolata,Preprinted scRNA-seq,Preprint: Bonacolta et al. 2024,43
Pocillopora verrucosa,Preprinted scRNA-seq,Preprint: He et al. 2024,188
Montipora foliosa,Preprinted scRNA-seq,Preprint: He et al. 2024,188
Montipora capricornis,Preprinted scRNA-seq,Preprint: He et al. 2024,188
Pocillopora damicornis,Published scRNA-seq,Diao et al. 2025,189
