chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	e4_start	e4_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e4_cov	LCM_4:e1e2_conf	LCM_4:e1e3_conf	LCM_4:e2e4_conf	LCM_4:e3e4_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e4_cov	LCM_5:e1e2_conf	LCM_5:e1e3_conf	LCM_5:e2e4_conf	LCM_5:e3e4_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e4_cov	LCM_8:e1e2_conf	LCM_8:e1e3_conf	LCM_8:e2e4_conf	LCM_8:e3e4_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e4_cov	LCM_9:e1e2_conf	LCM_9:e1e3_conf	LCM_9:e2e4_conf	LCM_9:e3e4_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e4_cov	LCM_15:e1e2_conf	LCM_15:e1e3_conf	LCM_15:e2e4_conf	LCM_15:e3e4_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e4_cov	LCM_16:e1e2_conf	LCM_16:e1e3_conf	LCM_16:e2e4_conf	LCM_16:e3e4_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e4_cov	LCM_20:e1e2_conf	LCM_20:e1e3_conf	LCM_20:e2e4_conf	LCM_20:e3e4_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e4_cov	LCM_21:e1e2_conf	LCM_21:e1e3_conf	LCM_21:e2e4_conf	LCM_21:e3e4_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e4_cov	LCM_26:e1e2_conf	LCM_26:e1e3_conf	LCM_26:e2e4_conf	LCM_26:e3e4_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e4_cov	LCM_27:e1e2_conf	LCM_27:e1e3_conf	LCM_27:e2e4_conf	LCM_27:e3e4_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	mutex_exons.1	0	Pocillopora_acuta_HIv2___RNAseq.g27572.t1	2515702	2515800	2516702	2516743	2516617	2516659	2517784	2518620	0.0	0.0	0.0	0.1	0	0	0	0	nan	3.2	0.0	0.0	11.3	0	0	0	0	nan	0.0	0.0	0.0	0.8	0	0	0	0	nan	16.6	26.0	0.0	16.0	26	0	22	0	0.00	19.9	33.4	0.0	17.6	30	0	40	0	0.00	0.0	0.0	0.0	0.0	0	0	0	0	nan	125.7	37.2	100.8	29.1	33	101	40	93	0.73	38.9	5.7	37.6	47.4	4	43	7	34	0.88	91.9	39.6	45.2	51.3	35	42	41	45	0.53	0.0	0.0	0.0	58.1	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000002	+	mutex_exons.5	0	Pocillopora_acuta_HIv2___RNAseq.g24790.t1	1643392	1643430	1644505	1644575	1646922	1646992	1648102	1649207	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	1.5	20.9	0	0	0	2	nan	0.0	0.0	0.0	32.1	0	0	0	0	nan	0.0	0.0	0.0	0.8	0	0	0	0	nan	0.0	0.0	37.9	37.9	0	0	0	39	1.00	0.0	2.0	97.4	42.5	0	0	0	86	1.00	0.0	0.0	0.0	60.5	0	0	0	0	nan	0.0	0.0	0.0	3.4	0	0	0	0	nan	37.5	16.1	68.0	125.0	12	26	7	63	0.82	0.0	0.0	0.0	28.3	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	+	mutex_exons.7	0	Pocillopora_acuta_HIv2___TS.g8089.t1	3664662	3664724	3664951	3665001	3665968	3666018	3669330	3669392	0.0	0.0	0.0	0.0	0	0	0	0	nan	8.8	9.1	10.3	24.7	10	0	0	8	0.44	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	76.1	55.2	67.1	123.9	54	21	27	60	0.50	0.0	0.0	0.0	0.0	0	0	0	0	nan	3.5	4.4	0.0	7.0	3	0	3	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	49.5	40.0	32.4	61.4	37	0	0	26	0.41	0.0	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	+	mutex_exons.8	0	Pocillopora_acuta_HIv2___TS.g8089.t1	3665663	3665725	3665968	3666018	3668619	3668669	3669330	3669392	0.0	0.0	0.0	0.0	0	0	0	0	nan	17.0	10.3	24.8	24.7	12	6	8	21	0.57	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	66.8	67.1	132.2	123.9	41	0	60	82	0.45	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.5	0.0	0.0	7.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	43.4	32.4	43.9	61.4	30	0	26	30	0.35	0.0	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	+	mutex_exons.9	1	Pocillopora_acuta_HIv2___RNAseq.g5399.t1	8197687	8197777	8197903	8198014	8198061	8198172	8198612	8199812	93.2	118.5	0.0	76.8	108	0	112	0	0.00	85.9	84.0	38.6	88.9	72	30	96	38	0.29	0.0	0.0	0.0	34.2	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	82.4	126.5	0.0	126.0	104	0	138	0	0.00	53.4	50.6	0.0	5.9	50	0	40	0	0.00	94.4	58.8	35.2	120.1	62	40	64	25	0.34	0.0	0.0	0.0	10.7	0	0	0	0	nan	134.7	170.5	0.0	173.3	135	0	198	0	0.00	0.0	0.0	0.0	5.3	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	-	mutex_exons.10	1	Pocillopora_acuta_HIv2___RNAseq.g4920.t1	2929725	2929782	2930134	2930288	2929928	2930093	2930734	2930768	0.0	0.0	0.0	0.0	0	0	0	0	nan	218.2	21.0	204.8	239.1	0	176	0	192	1.00	0.0	0.0	0.0	0.0	0	0	0	0	nan	109.9	0.0	149.0	177.0	0	88	0	183	1.00	54.4	39.3	69.1	73.0	0	35	0	43	1.00	16.1	72.2	39.6	67.3	0	0	0	0	nan	266.3	92.1	251.7	214.5	22	202	0	181	0.95	48.1	42.7	0.0	83.3	38	0	0	0	0.00	210.1	44.5	139.2	190.1	74	91	29	143	0.69	0.0	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000003	-	mutex_exons.16	0	Pocillopora_acuta_HIv2___RNAseq.g5095.t1	4811456	4811775	4812140	4812362	4815498	4815720	4816352	4816729	4.4	62.4	3.6	10.9	0	3	14	3	0.30	0.0	0.0	0.0	3.7	0	0	0	0	nan	24.2	89.5	48.1	0.0	23	54	0	0	0.70	0.0	0.0	0.0	0.0	0	0	0	0	nan	18.9	95.1	38.5	51.0	3	37	85	0	0.30	1.5	0.0	0.0	0.0	0	0	0	0	nan	2.9	57.6	18.7	36.7	3	14	48	0	0.22	0.0	14.1	0.0	8.9	0	0	6	0	nan	6.6	36.6	5.6	23.6	15	0	9	4	0.14	8.9	32.6	5.8	14.3	13	0	15	0	0.00
Pocillopora_acuta_HIv2___Sc0000003	-	mutex_exons.18	0	Pocillopora_acuta_HIv2___RNAseq.g5260.t1	6693078	6693151	6693764	6693795	6693438	6693478	6694266	6694345	140.1	0.0	115.1	84.2	0	129	0	103	1.00	306.9	50.1	57.7	253.1	21	19	19	17	0.47	0.0	0.0	0.0	58.7	0	0	0	0	nan	2.5	0.0	0.0	13.4	0	0	0	0	nan	5.6	4.8	0.0	102.7	2	0	4	0	nan	38.1	54.7	0.0	141.4	56	0	51	0	0.00	96.6	5.9	22.3	67.1	0	0	0	0	nan	61.6	0.0	0.0	111.0	0	0	0	0	nan	213.2	91.2	48.0	191.2	69	45	64	0	0.25	0.0	0.0	0.0	18.2	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000004	-	mutex_exons.19	2	Pocillopora_acuta_HIv2___TS.g15122.t3	76903	77798	78072	78117	77968	78015	78218	78357	15.0	0.0	0.0	0.0	0	0	0	0	nan	263.4	293.0	20.0	283.5	285	0	283	0	0.00	66.3	0.0	0.0	0.0	0	0	0	0	nan	7.8	0.0	0.0	0.0	0	0	0	0	nan	170.4	220.2	0.0	179.6	230	0	213	0	0.00	138.3	126.5	0.0	82.9	132	0	111	0	0.00	108.9	107.5	0.0	94.4	110	0	103	0	0.00	126.5	100.7	0.0	98.8	99	0	101	0	0.00	221.6	273.4	0.0	275.8	266	0	286	0	0.00	273.4	283.0	79.2	298.3	262	61	242	58	0.19
Pocillopora_acuta_HIv2___Sc0000004	-	mutex_exons.20	1	Pocillopora_acuta_HIv2___RNAseq.g12997.t1	5674846	5675062	5675569	5675652	5675430	5675518	5676141	5676188	0.0	0.0	0.0	0.0	0	0	0	0	nan	276.1	16.7	189.4	221.5	24	184	11	179	0.91	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	45.8	0.0	76.2	55.0	0	68	0	65	1.00	126.5	0.0	137.6	107.6	0	125	0	114	1.00	0.0	0.0	0.0	0.0	0	0	0	0	nan	83.3	0.0	73.3	86.8	0	59	0	88	1.00	0.0	0.0	0.0	0.0	0	0	0	0	nan	74.1	0.0	79.7	80.6	0	76	0	83	1.00
Pocillopora_acuta_HIv2___Sc0000011	+	mutex_exons.27	0	Pocillopora_acuta_HIv2___RNAseq.g22119.t1	5869215	5869269	5869627	5869681	5873429	5873483	5873936	5873983	0.0	0.0	0.0	0.0	0	0	0	0	nan	4.1	8.8	3.5	7.9	0	0	4	5	nan	68.3	85.2	0.7	6.9	70	1	0	0	0.01	0.0	0.0	0.0	0.0	0	0	0	0	nan	34.8	23.4	32.8	40.3	5	9	22	28	0.58	0.0	2.0	3.7	5.8	0	0	2	4	nan	0.0	12.7	1.6	2.0	0	0	0	2	nan	0.0	1.3	1.4	7.0	0	0	5	2	nan	18.3	10.3	21.9	20.6	0	0	0	21	1.00	0.0	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.29	1	Pocillopora_acuta_HIv2___RNAseq.g11579.t2	1619680	1619859	1624280	1624460	1624508	1624688	1625606	1626572	0.0	0.0	0.0	40.6	0	0	0	0	nan	337.6	304.7	38.8	597.2	366	38	295	44	0.11	16.6	60.2	0.6	414.5	0	0	124	11	0.08	0.6	0.0	0.0	334.4	0	0	0	0	nan	40.4	63.2	0.0	333.6	46	0	91	0	0.00	128.6	110.5	0.0	296.2	137	0	141	0	0.00	96.6	91.0	0.0	287.2	94	0	99	0	0.00	9.8	55.5	0.0	246.7	1	0	82	0	0.00	141.2	195.0	0.0	450.1	156	0	216	0	0.00	77.3	117.9	0.0	275.7	40	0	145	0	0.00
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.33	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200320	3200715	3201673	3201837	401.8	426.9	299.1	380.0	124	4	0	6	0.07	254.7	175.6	198.3	447.7	36	0	3	23	0.37	11.1	0.2	39.1	38.8	0	0	0	4	nan	36.7	22.8	5.3	51.6	0	0	0	0	nan	123.1	62.8	124.8	277.9	22	0	0	8	0.27	199.8	204.4	113.8	378.5	48	7	0	0	0.13	151.7	136.0	150.5	279.6	21	6	0	11	0.45	172.8	130.3	93.5	305.2	39	5	0	4	0.19	198.0	204.1	180.2	429.3	39	0	0	13	0.25	239.5	297.0	165.4	241.2	70	0	0	7	0.09
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.34	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200320	3200715	3201772	3206536	401.8	426.9	299.1	56.8	124	4	0	0	0.03	254.7	175.6	198.3	32.1	36	0	3	13	0.25	11.1	0.2	39.1	23.2	0	0	0	2	nan	36.7	22.8	5.3	4.9	0	0	0	0	nan	123.1	62.8	124.8	23.1	22	0	0	9	0.29	199.8	204.4	113.8	42.8	48	7	0	0	0.13	151.7	136.0	150.5	36.6	21	6	0	0	0.22	172.8	130.3	93.5	30.6	39	5	0	8	0.25	198.0	204.1	180.2	35.7	39	0	0	4	0.09	239.5	297.0	165.4	41.6	70	0	0	8	0.10
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.35	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200320	3200781	3201673	3201837	401.8	426.9	275.7	380.0	124	4	0	5	0.07	254.7	175.6	206.0	447.7	36	0	3	5	0.11	11.1	0.2	38.8	38.8	0	0	0	0	nan	36.7	22.8	4.7	51.6	0	0	0	0	nan	123.1	62.8	124.2	277.9	22	0	0	0	0.00	199.8	204.4	108.7	378.5	48	7	0	9	0.25	151.7	136.0	153.0	279.6	21	6	0	2	0.28	172.8	130.3	85.8	305.2	39	5	0	2	0.15	198.0	204.1	176.4	429.3	39	0	0	3	0.07	239.5	297.0	159.2	241.2	70	0	0	0	0.00
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.36	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200320	3200847	3201673	3201837	401.8	426.9	253.3	380.0	124	4	0	22	0.17	254.7	175.6	213.3	447.7	36	0	3	64	0.62	11.1	0.2	37.7	38.8	0	0	0	7	nan	36.7	22.8	4.2	51.6	0	0	0	0	nan	123.1	62.8	123.4	277.9	22	0	0	17	0.44	199.8	204.4	103.9	378.5	48	7	0	0	0.13	151.7	136.0	153.5	279.6	21	6	0	38	0.68	172.8	130.3	79.7	305.2	39	5	0	1	0.13	198.0	204.1	169.2	429.3	39	0	0	43	0.52	239.5	297.0	156.0	241.2	70	0	0	23	0.25
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.37	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200320	3200847	3201772	3206536	401.8	426.9	253.3	56.8	124	4	0	0	0.03	254.7	175.6	213.3	32.1	36	0	3	47	0.55	11.1	0.2	37.7	23.2	0	0	0	0	nan	36.7	22.8	4.2	4.9	0	0	0	0	nan	123.1	62.8	123.4	23.1	22	0	0	19	0.46	199.8	204.4	103.9	42.8	48	7	0	0	0.13	151.7	136.0	153.5	36.6	21	6	0	18	0.53	172.8	130.3	79.7	30.6	39	5	0	9	0.26	198.0	204.1	169.2	35.7	39	0	0	13	0.25	239.5	297.0	156.0	41.6	70	0	0	26	0.27
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.38	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200320	3200979	3201772	3201837	401.8	426.9	214.6	649.5	124	4	0	87	0.42	254.7	175.6	185.0	710.2	36	0	3	0	0.00	11.1	0.2	30.7	65.2	0	0	0	0	nan	36.7	22.8	3.5	76.3	0	0	0	0	nan	123.1	62.8	103.4	435.5	22	0	0	0	0.00	199.8	204.4	87.9	630.8	48	7	0	0	0.13	151.7	136.0	130.8	434.9	21	6	0	0	0.22	172.8	130.3	67.3	521.1	39	5	0	2	0.15	198.0	204.1	142.3	716.3	39	0	0	39	0.50	239.5	297.0	131.3	382.1	70	0	0	23	0.25
