#OG_name	Spis_proteins.faa	Pacu_proteins.faa
OG_1	XP_022777451.1 XP_022810576.1 XP_022810635.1	Pocillopora_acuta_HIv2___TS.g12530.t1
OG_2	XP_022777465.1 XP_022777459.1 XP_022777452.1	Pocillopora_acuta_HIv2___RNAseq.g24815.t1
OG_3	XP_022799961.1 XP_022810609.1	Pocillopora_acuta_HIv2___TS.g17970.t1
OG_4	XP_022810654.1 XP_022810649.1	Pocillopora_acuta_HIv2___RNAseq.g24708.t1
OG_5	XP_022777692.1 XP_022808097.1	Pocillopora_acuta_HIv2___RNAseq.g24373.t1
OG_6	XP_022777755.1 XP_022777759.1	Pocillopora_acuta_HIv2___RNAseq.2597_t
OG_7	XP_022783469.1 XP_022777956.1	Pocillopora_acuta_HIv2___RNAseq.g27329.t1
OG_8	XP_022806265.1 XP_022778090.1 XP_022806264.1	Pocillopora_acuta_HIv2___RNAseq.g28966.t1
OG_9	XP_022778181.1 XP_022787491.1	Pocillopora_acuta_HIv2___RNAseq.g122.t1
OG_10	XP_022807540.1 XP_022778253.1	Pocillopora_acuta_HIv2___RNAseq.g25723.t1
OG_11	XP_022778268.1 XP_022778336.1 XP_022778396.1	Pocillopora_acuta_HIv2___RNAseq.g5826.t1
OG_12	XP_022778295.1 XP_022787499.1	Pocillopora_acuta_HIv2___RNAseq.g15325.t1a
OG_13	XP_022802455.1 XP_022802456.1 XP_022778306.1 XP_022802454.1	Pocillopora_acuta_HIv2___RNAseq.g15649.t1
OG_14	XP_022778359.1 XP_022790626.1	Pocillopora_acuta_HIv2___RNAseq.g16056.t1
OG_15	XP_022778391.1 XP_022802054.1	Pocillopora_acuta_HIv2___TS.g22577.t1a
OG_16	XP_022778405.1 XP_022778419.1 XP_022778401.1 XP_022778411.1	Pocillopora_acuta_HIv2___TS.g6120.t1
OG_17	XP_022796977.1 XP_022778418.1	Pocillopora_acuta_HIv2___TS.g20791.t1c
OG_18	XP_022796527.1 XP_022778427.1	Pocillopora_acuta_HIv2___RNAseq.g21580.t1a
OG_19	XP_022778527.1 XP_022778535.1 XP_022778543.1	Pocillopora_acuta_HIv2___RNAseq.g7583.t1
OG_20	XP_022778627.1 XP_022803694.1	Pocillopora_acuta_HIv2___RNAseq.g16164.t1
OG_21	XP_022778650.1 XP_022778968.1 XP_022779023.1	Pocillopora_acuta_HIv2___RNAseq.g24018.t1
OG_22	XP_022778833.1 XP_022778777.1	Pocillopora_acuta_HIv2___TS.g15120.t1
OG_23	XP_022778936.1 XP_022778937.1	Pocillopora_acuta_HIv2___TS.g6139.t1
OG_24	XP_022778965.1 XP_022778962.1 XP_022778963.1	Pocillopora_acuta_HIv2___RNAseq.29083_t
OG_25	XP_022779014.1 XP_022779015.1	Pocillopora_acuta_HIv2___RNAseq.g10652.t1
OG_26	XP_022779045.1 XP_022779046.1	Pocillopora_acuta_HIv2___RNAseq.g10681.t1
OG_27	XP_022789309.1 XP_022785708.1 XP_022785707.1 XP_022808586.1 XP_022779047.1 XP_022800579.1 XP_022790459.1 XP_022786246.1 XP_022800124.1 XP_022791990.1 XP_022802005.1 XP_022791635.1	Pocillopora_acuta_HIv2___RNAseq.g21087.t1
OG_28	XP_022779053.1 XP_022779054.1	Pocillopora_acuta_HIv2___RNAseq.g10667.t1
OG_29	XP_022779063.1 XP_022779064.1	Pocillopora_acuta_HIv2___RNAseq.g10680.t1b
OG_30	XP_022779076.1 XP_022779077.1	Pocillopora_acuta_HIv2___RNAseq.g10679.t1
OG_31	XP_022779118.1 XP_022779120.1 XP_022779121.1	Pocillopora_acuta_HIv2___TS.g24056.t1
OG_32	XP_022779128.1 XP_022779129.1	Pocillopora_acuta_HIv2___RNAseq.g22614.t1
OG_33	XP_022779132.1 XP_022779140.1 XP_022779152.1	Pocillopora_acuta_HIv2___RNAseq.g8155.t1
OG_34	XP_022779148.1 XP_022779146.1 XP_022779147.1	Pocillopora_acuta_HIv2___RNAseq.g22701.t1
OG_35	XP_022779157.1 XP_022779158.1	Pocillopora_acuta_HIv2___TS.g24057.t1
OG_36	XP_022779159.1 XP_022779160.1 XP_022779161.1	Pocillopora_acuta_HIv2___RNAseq.g22625.t1
OG_37	XP_022779197.1 XP_022779198.1 XP_022779199.1 XP_022779201.1 XP_022779202.1 XP_022779203.1	Pocillopora_acuta_HIv2___RNAseq.g22694.t1
OG_38	XP_022779236.1 XP_022779235.1	Pocillopora_acuta_HIv2___RNAseq.29852_t
OG_39	XP_022779262.1 XP_022779263.1 XP_022779264.1	Pocillopora_acuta_HIv2___RNAseq.g2228.t1
OG_40	XP_022779356.1 XP_022779353.1 XP_022779354.1 XP_022779355.1	Pocillopora_acuta_HIv2___RNAseq.g28742.t1
OG_41	XP_022779383.1 XP_022779392.1 XP_022779361.1 XP_022779372.1 XP_022779379.1	Pocillopora_acuta_HIv2___TS.g29998.t1
OG_42	XP_022779407.1 XP_022779408.1 XP_022779409.1	Pocillopora_acuta_HIv2___TS.g6805.t1b
OG_43	XP_022779461.1 XP_022779462.1	Pocillopora_acuta_HIv2___RNAseq.g29431.t1
OG_44	XP_022779464.1 XP_022779465.1	Pocillopora_acuta_HIv2___TS.g7365.t1
OG_45	XP_022779492.1 XP_022779491.1	Pocillopora_acuta_HIv2___RNAseq.g5344.t1
OG_46	XP_022779508.1 XP_022779506.1	Pocillopora_acuta_HIv2___RNAseq.g5343.t1
OG_47	XP_022779579.1 XP_022779507.1	Pocillopora_acuta_HIv2___RNAseq.g24017.t1
OG_48	XP_022779526.1 XP_022779527.1 XP_022779528.1 XP_022779529.1 XP_022779530.1 XP_022779531.1 XP_022779532.1 XP_022779533.1	Pocillopora_acuta_HIv2___RNAseq.g24502.t1
OG_49	XP_022779548.1 XP_022779547.1	Pocillopora_acuta_HIv2___RNAseq.g5329.t1
OG_50	XP_022779623.1 XP_022779624.1	Pocillopora_acuta_HIv2___RNAseq.g5284.t1
OG_51	XP_022779709.1 XP_022779710.1	Pocillopora_acuta_HIv2___TS.g13223.t1
OG_52	XP_022779759.1 XP_022779760.1	Pocillopora_acuta_HIv2___RNAseq.g19747.t1
OG_53	XP_022779814.1 XP_022779815.1	Pocillopora_acuta_HIv2___RNAseq.g11260.t2
OG_54	XP_022779821.1 XP_022809044.1	Pocillopora_acuta_HIv2___RNAseq.g11321.t1
OG_55	XP_022779825.1 XP_022779826.1	Pocillopora_acuta_HIv2___RNAseq.g11307.t2
OG_56	XP_022779972.1 XP_022779973.1 XP_022779974.1 XP_022779971.1	Pocillopora_acuta_HIv2___RNAseq.g1730.t2
OG_57	XP_022779989.1 XP_022779990.1	Pocillopora_acuta_HIv2___RNAseq.g1761.t1
OG_58	XP_022780004.1 XP_022780005.1 XP_022780006.1 XP_022780007.1 XP_022780008.1	Pocillopora_acuta_HIv2___TS.g26763.t2c
OG_59	XP_022780069.1 XP_022780062.1 XP_022780074.1	Pocillopora_acuta_HIv2___TS.g29972.t1
OG_60	XP_022780065.1 XP_022780066.1 XP_022780067.1	Pocillopora_acuta_HIv2___RNAseq.g26684.t1
OG_61	XP_022780245.1 XP_022780235.1	Pocillopora_acuta_HIv2___RNAseq.g8145.t1
OG_62	XP_022780260.1 XP_022780259.1	Pocillopora_acuta_HIv2___RNAseq.g7683.t1
OG_63	XP_022780276.1 XP_022780278.1 XP_022780279.1 XP_022780280.1 XP_022780281.1	Pocillopora_acuta_HIv2___RNAseq.g7703.t1 Pocillopora_acuta_HIv2___RNAseq.g7700.t1
OG_64	XP_022780336.1 XP_022780337.1 XP_022780338.1	Pocillopora_acuta_HIv2___TS.g6238.t1
OG_65	XP_022780433.1 XP_022780434.1	Pocillopora_acuta_HIv2___RNAseq.g14761.t1
OG_66	XP_022780478.1 XP_022780479.1	Pocillopora_acuta_HIv2___RNAseq.g29607.t1
OG_67	XP_022780548.1 XP_022780549.1	Pocillopora_acuta_HIv2___RNAseq.g29668.t1
OG_68	XP_022780564.1 XP_022780562.1 XP_022780563.1	Pocillopora_acuta_HIv2___RNAseq.g29611.t1
OG_69	XP_022780584.1 XP_022780585.1 XP_022780586.1	Pocillopora_acuta_HIv2___TS.g20379.t1
OG_70	XP_022780614.1 XP_022780615.1	Pocillopora_acuta_HIv2___TS.g20330.t1
OG_71	XP_022780628.1 XP_022780629.1 XP_022780630.1	Pocillopora_acuta_HIv2___TS.g19118.t3
OG_72	XP_022780668.1 XP_022780666.1 XP_022780667.1	Pocillopora_acuta_HIv2___RNAseq.14918_t
OG_73	XP_022780671.1 XP_022780672.1	Pocillopora_acuta_HIv2___TS.g19119.t1c
OG_74	XP_022780734.1 XP_022780735.1	Pocillopora_acuta_HIv2___RNAseq.g4065.t1
OG_75	XP_022780751.1 XP_022780759.1	Pocillopora_acuta_HIv2___TS.g29968.t2
