"","Gene_Name","Description","Pacuta_gene"
"1","FoxA","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g15510.t1"
"2","FoxA","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g15510.t1"
"3","FoxA","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g15510.t1"
"4","Brachyury","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g103.t1"
"5","WntA","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g14590.t1"
"6","WntA","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g14590.t1"
"7","WntA","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g14590.t1"
"8","Wnt1","oral marker DuBuc2018","Pocillopora_acuta_HIv2___TS.g16332.t1"
"9","Wnt3","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g9553.t1a"
"10","Wnt2","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g29982.t1"
"11","Wnt2","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g29982.t1"
"12","Wnt2","oral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g29982.t1"
"13","Sfrp1/5","aboral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g2565.t1"
"14","Dkk1/2/4","aboral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g26201.t1"
"15","Six3/6","aboral marker DuBuc2018","Pocillopora_acuta_HIv2___RNAseq.g615.t1"
