chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e3_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e3_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e3_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e3_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e3_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e3_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e3_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e3_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e3_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e3_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.1	2	Pocillopora_acuta_HIv2___RNAseq.g27419.t1	275623	275694	275695	276364	276365	276573	125.4	134.6	21.0	0	1.00	73.3	74.7	57.6	0	1.00	179.1	146.5	88.9	0	1.00	0.0	0.0	0.0	0	nan	41.3	109.8	63.6	0	1.00	78.8	60.7	55.3	0	1.00	61.6	41.8	30.1	0	1.00	73.5	97.1	154.9	0	1.00	83.0	66.5	53.0	28	0.70	0.0	51.8	46.6	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.3	3	Pocillopora_acuta_HIv2___RNAseq.g27523.t1	1953846	1954034	1954035	1954172	1954173	1954235	0.0	0.0	0.0	0	nan	12.3	0.0	15.4	15	0.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	25.0	21.7	25.6	0	1.00	0.0	0.0	0.0	0	nan	70.6	0.0	109.9	96	0.00	0.0	0.0	0.0	0	nan	3.2	0.0	19.6	13	0.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.5	2	Pocillopora_acuta_HIv2___TS.g10282.t1	1969917	1970904	1970905	1971011	1971012	1971163	349.2	14420.6	5411.1	0	1.00	269.0	9881.7	4077.7	0	1.00	49.8	2251.6	887.2	0	1.00	141.1	5789.1	2273.1	0	1.00	95.9	4095.2	1763.3	0	1.00	157.5	6588.0	2904.4	33	1.00	38.6	1436.9	668.5	0	1.00	160.1	6444.2	2939.9	0	1.00	104.9	4375.3	1941.0	0	1.00	197.3	6755.1	2827.4	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.6	2	Pocillopora_acuta_HIv2___TS.g10282.t1	1969917	1971074	1971075	1971109	1971110	1971163	2167.1	4694.8	678.4	0	1.00	1545.8	3590.2	503.5	0	1.00	338.7	779.2	102.2	0	1.00	880.4	1984.9	285.6	0	1.00	632.2	1603.7	235.1	0	1.00	1028.8	2613.3	353.9	0	1.00	231.1	595.3	94.5	0	1.00	1017.4	2743.9	378.3	3	1.00	681.8	1804.3	262.2	0	1.00	1069.5	2548.5	366.4	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.9	2	Pocillopora_acuta_HIv2___TS.g10338.t1	2606271	2607485	2607486	2607506	2607507	2607677	0.0	0.0	0.0	0	nan	34.9	40.5	35.4	0	1.00	21.2	321.4	260.4	44	0.88	0.0	0.0	0.0	0	nan	73.8	106.9	83.6	37	0.74	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	57.2	67.2	53.1	0	1.00	121.7	225.1	173.7	0	1.00	48.3	82.4	52.8	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.10	2	Pocillopora_acuta_HIv2___RNAseq.g27678.t1	3804815	3805235	3805236	3805403	3805404	3807289	2.5	0.2	227.3	0	nan	7.6	0.0	139.1	24	0.00	0.0	0.0	48.6	0	nan	0.0	0.0	4.3	0	nan	0.0	0.0	34.7	0	nan	46.7	0.5	246.9	0	nan	33.5	33.9	21.2	0	1.00	0.0	2.4	211.1	0	nan	0.2	0.0	66.9	0	nan	0.0	0.0	98.3	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.11	2	Pocillopora_acuta_HIv2___RNAseq.g27678.t1	3804815	3805236	3805237	3805404	3805405	3807289	2.6	0.0	227.5	31	0.00	7.6	0.1	139.2	0	nan	0.0	0.0	48.6	0	nan	0.0	0.0	4.3	0	nan	0.0	0.0	34.7	0	nan	46.7	0.2	247.0	60	0.00	33.5	33.9	21.2	0	1.00	0.0	2.5	211.2	0	nan	0.2	0.0	66.9	0	nan	0.0	0.0	98.3	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.14	2	Pocillopora_acuta_HIv2___RNAseq.g27699.t1	4075519	4075549	4075550	4075943	4075944	4077286	0.0	9.2	123.7	0	nan	302.6	289.7	374.5	22	0.93	107.6	117.2	249.4	0	1.00	0.0	0.0	32.3	0	nan	89.1	127.5	296.1	0	1.00	127.2	134.2	159.4	0	1.00	265.6	283.9	379.1	0	1.00	45.3	87.6	87.1	0	1.00	298.0	378.1	411.2	0	1.00	8.9	30.4	135.8	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.17	3	Pocillopora_acuta_HIv2___RNAseq.g27856.t2	5204218	5204263	5204264	5204479	5204480	5204587	0.0	0.0	35.5	0	nan	147.2	32.2	161.0	125	0.20	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	13.8	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.18	2	Pocillopora_acuta_HIv2___RNAseq.g27857.t1	5211875	5212379	5212380	5212501	5212502	5212651	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	7.7	26.3	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	16.3	79.7	50.6	7	0.92	28.7	75.2	38.8	0	1.00	0.0	0.0	0.0	0	nan	7.3	34.1	16.2	0	1.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.19	3	Pocillopora_acuta_HIv2___TS.g10646.t1	5672696	5672726	5672727	5672825	5672826	5672914	102.3	0.0	110.3	104	0.00	129.4	13.6	151.5	120	0.10	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	21.0	32.9	42.6	0	1.00	0.0	0.0	0.0	0	nan	0.0	0.0	17.9	0	nan	0.0	0.0	0.0	0	nan	264.5	0.0	255.0	261	0.00	101.8	32.3	190.8	114	0.22
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.23	3	Pocillopora_acuta_HIv2___TS.g10724.t2c	6502372	6502552	6502553	6503511	6503512	6503605	0.0	0.0	0.0	0	nan	71.6	53.1	119.5	44	0.55	147.9	17.9	0.0	0	1.00	0.0	0.0	0.0	0	nan	25.5	38.0	31.6	0	1.00	0.0	0.2	11.9	0	nan	0.0	25.2	41.5	0	1.00	0.0	0.0	0.0	0	nan	41.2	0.0	44.6	40	0.00	0.0	0.0	0.0	0	nan
