"","gene_id_spA","cluster","source_sp","protein_id_spA","Standardized_Name_spA","protein_id_spB"
"1","LOC113666310","Cluster0","Pdam","XP_027037884.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g2240.t1"
"2","LOC113666310","Cluster0","Pdam","XP_027037884.1","epidermis","XP_022793831.1"
"3","LOC113666310","Cluster0","Pdam","XP_027037884.1","epidermis","QW917_013386"
"4","LOC113679584","Cluster0","Pdam","XP_027052350.1","epidermis","Pocillopora_acuta_HIv2___TS.g17854.t1"
"5","LOC113679584","Cluster0","Pdam","XP_027052350.1","epidermis","evm.model.Ap8.1148"
"6","LOC113679584","Cluster0","Pdam","XP_027052350.1","epidermis","QW917_018887"
"7","LOC113679584","Cluster0","Pdam","XP_027052350.1","epidermis","QW917_018888"
"8","LOC113672780","Cluster0","Pdam","XP_027044932.1","epidermis","XP_057316508.1"
"9","LOC113672780","Cluster0","Pdam","XP_027044932.1","epidermis","QW917_007767"
"10","LOC113672780","Cluster0","Pdam","XP_027044932.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g13981.t1"
"11","LOC113672780","Cluster0","Pdam","XP_027044932.1","epidermis","XP_022803600.1"
"12","LOC113672780","Cluster0","Pdam","XP_027044932.1","epidermis","Porites_compressa_HIv1___RNAseq.g1475.t1"
"13","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","Porites_compressa_HIv1___RNAseq.g10172.t1"
"14","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","QW917_001346"
"15","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","XP_022805905.1"
"16","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","XP_022805896.1"
"17","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","XP_022805904.1"
"18","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g23086.t1"
"19","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","XP_022805899.1"
"20","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","Porites_compressa_HIv1___RNAseq.g39940.t1"
"21","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","XP_057307636.1"
"22","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","QW917_001227"
"23","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","Porites_compressa_HIv1___RNAseq.g5809.t1"
"24","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","XP_022781572.1"
"25","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","XP_022781573.1"
"26","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","XP_022781574.1"
"27","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g10577.t1"
"28","LOC113680250","Cluster0","Pdam","XP_027053069.1","epidermis","XP_057307636.1"
"29","LOC113680250","Cluster0","Pdam","XP_027053069.1","epidermis","QW917_001227"
