"","gene_id_spA","cluster","source_sp","protein_id_spA","Standardized_Name_spA","protein_id_spB"
"1","LOC113666310","Cluster0","Pdam","XP_027037884.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g2240.t1"
"2","LOC113679584","Cluster0","Pdam","XP_027052350.1","epidermis","Pocillopora_acuta_HIv2___TS.g17854.t1"
"3","LOC113672780","Cluster0","Pdam","XP_027044932.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g13981.t1"
"4","LOC113665715","Cluster0","Pdam","XP_027037242.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g23086.t1"
"5","LOC113680250","Cluster0","Pdam","XP_027053071.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g10577.t1"
"6","LOC113680250","Cluster0","Pdam","XP_027053069.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g10577.t1"
"7","LOC113680849","Cluster0","Pdam","XP_027053700.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g31044.t1"
"8","LOC113677284","Cluster0","Pdam","XP_027049878.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g10988.t1"
"9","LOC113677284","Cluster0","Pdam","XP_027049876.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g10988.t1"
"10","LOC113676923","Cluster0","Pdam","XP_027049463.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.19049_t"
"11","LOC113679024","Cluster0","Pdam","XP_027051763.1","epidermis","Pocillopora_acuta_HIv2___TS.g21530.t1"
"12","LOC113679024","Cluster0","Pdam","XP_027051756.1","epidermis","Pocillopora_acuta_HIv2___TS.g21530.t1"
"13","LOC113687096","Cluster0","Pdam","XP_027060603.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6397.t1"
"14","LOC113687096","Cluster0","Pdam","XP_027060604.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6397.t1"
"15","LOC113666770","Cluster0","Pdam","XP_027038362.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g993.t1"
"16","LOC113666770","Cluster0","Pdam","XP_027038362.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g994.t1"
"17","LOC113679819","Cluster0","Pdam","XP_027052591.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g8399.t1"
"18","LOC113674663","Cluster0","Pdam","XP_027046948.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g3464.t1"
"19","LOC113685205","Cluster0","Pdam","XP_027058496.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g25504.t1"
"20","LOC113672909","Cluster0","Pdam","XP_027045053.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.11267_t"
"21","LOC113667716","Cluster0","Pdam","XP_027039372.1","epidermis","Pocillopora_acuta_HIv2___TS.g27210.t2"
"22","LOC113667716","Cluster0","Pdam","XP_027039373.1","epidermis","Pocillopora_acuta_HIv2___TS.g27210.t2"
"23","LOC113676583","Cluster0","Pdam","XP_027049056.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g33.t1"
"24","LOC113675168","Cluster0","Pdam","XP_027047511.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g18150.t1"
"25","LOC113680560","Cluster0","Pdam","XP_027053399.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30858.t1"
"26","LOC113680560","Cluster0","Pdam","XP_027053400.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30858.t1"
"27","LOC113680560","Cluster0","Pdam","XP_027053402.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30858.t1"
"28","LOC113680560","Cluster0","Pdam","XP_027053398.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30858.t1"
"29","LOC113680560","Cluster0","Pdam","XP_027053403.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30858.t1"
"30","LOC113681561","Cluster0","Pdam","XP_027054461.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6351.t1"
"31","LOC113666628","Cluster0","Pdam","XP_027038220.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g16486.t1"
"32","LOC113680317","Cluster0","Pdam","XP_027053130.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g21334.t1"
"33","LOC113680317","Cluster0","Pdam","XP_027053131.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g21334.t1"
"34","LOC113680317","Cluster0","Pdam","XP_027053132.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g21334.t1"
"35","LOC113680317","Cluster0","Pdam","XP_027053129.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g21334.t1"
"36","LOC113670891","Cluster0","Pdam","XP_027042900.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g26700.t1"
"37","LOC113670891","Cluster0","Pdam","XP_027042899.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g26700.t1"
"38","LOC113686244","Cluster0","Pdam","XP_027059643.1","epidermis","Pocillopora_acuta_HIv2___TS.g22689.t1"
"39","LOC113672050","Cluster0","Pdam","XP_027044160.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6093.t1"
"40","LOC113683364","Cluster0","Pdam","XP_027056403.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g19857.t1"
"41","LOC113683364","Cluster0","Pdam","XP_027056402.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g19857.t1"
"42","LOC113683364","Cluster0","Pdam","XP_027056404.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g19857.t1"
"43","LOC113666862","Cluster0","Pdam","XP_027038460.1","epidermis","Pocillopora_acuta_HIv2___TS.g25238.t1"
"44","LOC113680833","Cluster0","Pdam","XP_027053687.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g22884.t1"
"45","LOC113672836","Cluster0","Pdam","XP_027044985.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g4697.t1"
"46","LOC113672836","Cluster0","Pdam","XP_027044985.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30957.t1"
"47","LOC113686814","Cluster0","Pdam","XP_027060288.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g18060.t1"
"48","LOC113678537","Cluster0","Pdam","XP_027051237.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6734.t1"
"49","LOC113678537","Cluster0","Pdam","XP_027051236.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6734.t1"
"50","LOC113678537","Cluster0","Pdam","XP_027051239.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6734.t1"
"51","LOC113678537","Cluster0","Pdam","XP_027051238.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6734.t1"
"52","LOC113678537","Cluster0","Pdam","XP_027051241.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6734.t1"
"53","LOC113674955","Cluster0","Pdam","XP_027047252.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g2272.t1"
"54","LOC113674955","Cluster0","Pdam","XP_027047250.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g2272.t1"
"55","LOC113674955","Cluster0","Pdam","XP_027047251.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g2272.t1"
"56","LOC113682401","Cluster0","Pdam","XP_027055370.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g13234.t1"
"57","LOC113682401","Cluster0","Pdam","XP_027055371.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g13234.t1"
"58","LOC113682401","Cluster0","Pdam","XP_027055369.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g13234.t1"
"59","LOC113682401","Cluster0","Pdam","XP_027055372.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g13234.t1"
"60","LOC113674593","Cluster0","Pdam","XP_027046879.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g18979.t1"
"61","LOC113669424","Cluster0","Pdam","XP_027041252.1","epidermis","Pocillopora_acuta_HIv2___TS.g2710.t1"
"62","LOC113666098","Cluster0","Pdam","XP_027037659.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g5227.t1"
"63","LOC113666098","Cluster0","Pdam","XP_027037660.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g5227.t1"
"64","LOC113676390","Cluster0","Pdam","XP_027048844.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g10927.t1"
"65","LOC113676390","Cluster0","Pdam","XP_027048845.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g10927.t1"
"66","LOC113671432","Cluster0","Pdam","XP_027043421.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g15095.t1"
"67","LOC113671432","Cluster0","Pdam","XP_027043422.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g15095.t1"
"68","LOC113684733","Cluster0","Pdam","XP_027057927.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g17040.t1"
"69","LOC113682280","Cluster0","Pdam","XP_027055235.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g5818.t1"
"70","LOC113675276","Cluster0","Pdam","XP_027047632.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g22643.t1"
"71","LOC113674839","Cluster0","Pdam","XP_027047137.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g11210.t1"
"72","LOC113685247","Cluster0","Pdam","XP_027058538.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g20060.t1"
"73","LOC113675625","Cluster0","Pdam","XP_027048019.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g5297.t1"
"74","LOC113675625","Cluster0","Pdam","XP_027048019.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g5298.t1"
"75","LOC113675625","Cluster0","Pdam","XP_027048019.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g29286.t1"
"76","LOC113675625","Cluster0","Pdam","XP_027048019.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g5300.t1"
"77","LOC113684904","Cluster0","Pdam","XP_027058122.1","epidermis","Pocillopora_acuta_HIv2___TS.g26777.t1"
"78","LOC113675667","Cluster0","Pdam","XP_027048066.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g8803.t1a"
"79","LOC113681704","Cluster0","Pdam","XP_027054620.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g12514.t1"
"80","LOC113681704","Cluster0","Pdam","XP_027054618.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g12514.t1"
"81","LOC113681704","Cluster0","Pdam","XP_027054619.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g12514.t1"
"82","LOC113683359","Cluster0","Pdam","XP_027056396.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g19872.t1"
"83","LOC113681202","Cluster0","Pdam","XP_027054079.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g9029.t1"
"84","LOC113681202","Cluster0","Pdam","XP_027054082.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g9029.t1"
"85","LOC113681202","Cluster0","Pdam","XP_027054078.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g9029.t1"
"86","LOC113681202","Cluster0","Pdam","XP_027054081.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g9029.t1"
"87","LOC113681202","Cluster0","Pdam","XP_027054077.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g9029.t1"
"88","LOC113679833","Cluster0","Pdam","XP_027052608.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g8405.t1"
"89","LOC113687136","Cluster0","Pdam","XP_027060642.1","epidermis","Pocillopora_acuta_HIv2___TS.g11769.t1"
"90","LOC113687136","Cluster0","Pdam","XP_027060643.1","epidermis","Pocillopora_acuta_HIv2___TS.g11769.t1"
"91","LOC113684237","Cluster0","Pdam","XP_027057373.1","epidermis","Pocillopora_acuta_HIv2___TS.g19769.t1"
"92","LOC113686270","Cluster0","Pdam","XP_027059674.1","epidermis","Pocillopora_acuta_HIv2___TS.g22622.t1"
"93","LOC113680364","Cluster0","Pdam","XP_027053188.1","epidermis","Pocillopora_acuta_HIv2___TS.g10733.t1"
"94","LOC113680364","Cluster0","Pdam","XP_027053190.1","epidermis","Pocillopora_acuta_HIv2___TS.g10733.t1"
"95","LOC113680364","Cluster0","Pdam","XP_027053189.1","epidermis","Pocillopora_acuta_HIv2___TS.g10733.t1"
"96","LOC113679849","Cluster0","Pdam","XP_027052623.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g28637.t1"
"97","LOC113677222","Cluster0","Pdam","XP_027049789.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g21421.t1"
"98","LOC113673895","Cluster0","Pdam","XP_027046161.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g3014.t1"
"99","LOC113681946","Cluster0","Pdam","XP_027054883.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g22851.t1"
"100","LOC113672322","Cluster0","Pdam","XP_027044401.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g6259.t1"
"101","LOC113678113","Cluster0","Pdam","XP_027050782.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30195.t1"
"102","LOC113681285","Cluster0","Pdam","XP_027054166.1","epidermis","Pocillopora_acuta_HIv2___TS.g11587.t1a"
"103","LOC113672233","Cluster0","Pdam","XP_027044322.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g19090.t1"
"104","LOC113665435","Cluster0","Pdam","XP_027036920.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g7588.t2"
"105","LOC113682139","Cluster0","Pdam","XP_027055094.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g11543.t1"
"106","LOC113678314","Cluster0","Pdam","XP_027051006.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g26160.t1"
"107","LOC113680360","Cluster0","Pdam","XP_027053184.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g27972.t1"
"108","LOC113680360","Cluster0","Pdam","XP_027053184.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g4949.t2"
"109","LOC113680360","Cluster0","Pdam","XP_027053184.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g754.t1"
"110","LOC113664562","Cluster0","Pdam","XP_027035981.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g27673.t1"
"111","LOC113664562","Cluster0","Pdam","XP_027035980.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g27673.t1"
"112","LOC113664562","Cluster0","Pdam","XP_027035978.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g27673.t1"
"113","LOC113664562","Cluster0","Pdam","XP_027035979.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g27673.t1"
"114","LOC113684021","Cluster0","Pdam","XP_027057157.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g28107.t1"
"115","LOC113686641","Cluster0","Pdam","XP_027060089.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g21528.t1"
"116","LOC113665005","Cluster0","Pdam","XP_027036456.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g2516.t1"
"117","LOC113669143","Cluster0","Pdam","XP_027040950.1","epidermis","Pocillopora_acuta_HIv2___TS.g17823.t1"
"118","LOC113677377","Cluster0","Pdam","XP_027049997.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g27084.t1c"
"119","LOC113678126","Cluster0","Pdam","XP_027050795.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g30194.t1"
"120","LOC113674200","Cluster0","Pdam","XP_027046474.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g20678.t1b"
"121","LOC113674178","Cluster0","Pdam","XP_027046451.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g14231.t1"
"122","LOC113674178","Cluster0","Pdam","XP_027046450.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g14231.t1"
"123","LOC113668824","Cluster0","Pdam","XP_027040580.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g4371.t1"
"124","LOC113670835","Cluster0","Pdam","XP_027042821.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.12371_t"
"125","LOC113673415","Cluster0","Pdam","XP_027045613.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g28253.t1"
"126","LOC113673415","Cluster0","Pdam","XP_027045612.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g28253.t1"
"127","LOC113671467","Cluster0","Pdam","XP_027043473.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g15148.t1"
"128","LOC113685384","Cluster0","Pdam","XP_027058693.1","epidermis","Pocillopora_acuta_HIv2___RNAseq.g14345.t2a"
"129","LOC113671010","Cluster0","Pdam","XP_027043019.1","epidermis","Pocillopora_acuta_HIv2___TS.g23121.t2"
