chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e3_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e3_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e3_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e3_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e3_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e3_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e3_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e3_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e3_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e3_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.2	3	Pocillopora_acuta_HIv2___RNAseq.g27523.t1	1953846	1954034	1954035	1954172	1954173	1954235	0.0	0.0	0.0	0	nan	12.3	0.0	15.4	15	0.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	25.0	21.7	25.6	0	1.00	0.0	0.0	0.0	0	nan	70.6	0.0	109.9	96	0.00	0.0	0.0	0.0	0	nan	3.2	0.0	19.6	13	0.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.5	3	Pocillopora_acuta_HIv2___RNAseq.g27856.t2	5204218	5204263	5204264	5204479	5204480	5204587	0.0	0.0	35.5	0	nan	147.2	32.2	161.0	125	0.20	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	13.8	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.6	3	Pocillopora_acuta_HIv2___TS.g10646.t1	5672696	5672726	5672727	5672825	5672826	5672914	102.3	0.0	110.3	104	0.00	129.4	13.6	151.5	120	0.10	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	21.0	32.9	42.6	0	1.00	0.0	0.0	0.0	0	nan	0.0	0.0	17.9	0	nan	0.0	0.0	0.0	0	nan	264.5	0.0	255.0	261	0.00	101.8	32.3	190.8	114	0.22
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.8	3	Pocillopora_acuta_HIv2___TS.g10724.t2c	6502372	6502552	6502553	6503511	6503512	6503605	0.0	0.0	0.0	0	nan	71.6	53.1	119.5	44	0.55	147.9	17.9	0.0	0	1.00	0.0	0.0	0.0	0	nan	25.5	38.0	31.6	0	1.00	0.0	0.2	11.9	0	nan	0.0	25.2	41.5	0	1.00	0.0	0.0	0.0	0	nan	41.2	0.0	44.6	40	0.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.9	3	Pocillopora_acuta_HIv2___RNAseq.g27967.t1b	6679390	6679443	6679444	6679583	6679584	6679633	178.9	0.0	190.9	193	0.00	16.1	0.0	17.9	14	0.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	105.4	55.0	93.9	48	0.53	73.5	0.0	93.1	79	0.00	51.1	20.0	46.7	32	0.38	96.4	79.7	85.3	0	1.00	66.8	0.0	102.8	86	0.00	60.1	4.6	113.9	62	0.07
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.10	3	Pocillopora_acuta_HIv2___RNAseq.g27967.t1b	6679390	6679633	6679634	6679807	6679808	6679882	78.7	0.0	162.4	175	0.00	7.2	0.0	23.6	20	0.00	0.0	0.0	0.0	0	nan	0.0	1.8	16.8	0	nan	74.1	35.5	82.7	53	0.40	35.4	0.0	74.8	91	0.00	32.3	18.0	51.3	32	0.36	84.6	71.2	52.2	0	1.00	35.8	0.0	113.7	103	0.00	39.3	0.0	170.5	134	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.12	2	Pocillopora_acuta_HIv2___RNAseq.g28184.t1	9314760	9314897	9314898	9314944	9314945	9315014	128.1	56.2	88.3	68	0.45	27.1	31.4	26.0	0	1.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	28.2	52.5	58.9	0	1.00	96.9	115.1	106.5	0	1.00	16.6	32.8	27.9	0	1.00	0.0	0.0	0.0	0	nan	38.6	84.0	79.3	0	1.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.13	3	Pocillopora_acuta_HIv2___RNAseq.g28415.t1	12143267	12143316	12143317	12143474	12143475	12143532	279.3	128.4	328.3	214	0.38	131.4	0.0	140.9	135	0.00	1.0	0.0	8.8	1	nan	139.0	0.0	249.5	195	0.00	115.9	0.0	111.3	121	0.00	238.5	0.1	241.9	231	0.00	193.5	0.5	222.4	219	0.00	93.6	0.0	119.0	107	0.00	298.1	0.0	273.7	295	0.00	337.7	0.0	317.1	322	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.14	3	Pocillopora_acuta_HIv2___RNAseq.g28458.t1	12613357	12613443	12613444	12614141	12614142	12614228	17.6	0.0	12.9	14	0.00	83.8	0.0	87.1	87	0.00	42.8	0.0	128.2	89	0.00	5.3	0.0	2.4	3	nan	62.7	37.6	139.2	55	0.41	86.9	0.0	101.8	98	0.00	27.4	0.0	49.6	46	0.00	33.6	0.0	45.7	40	0.00	37.1	0.0	43.0	36	0.00	51.0	0.0	38.6	31	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.16	3	Pocillopora_acuta_HIv2___RNAseq.g28495.t1	13152185	13152248	13152249	13152433	13152434	13152538	25.6	0.0	0.0	0	nan	57.4	0.0	27.0	26	0.00	279.3	112.7	255.8	165	0.41	32.3	0.0	0.0	0	nan	27.9	0.0	0.8	2	nan	30.5	0.0	0.0	0	nan	12.3	0.0	0.0	0	nan	124.4	86.9	75.4	0	1.00	150.2	0.0	59.8	74	0.00	36.3	0.0	0.0	0	nan
