Alx4,Homeobox protein aristaless-like 4,NV2g017442000.1,NVE1403
Anthox1,Homeobox protein Anthox1,NV2g017961000.1,NVE16373
Anthox1a,Homeobox protein Anthox1a,NV2g012279000.1,NVE12998
Anthox6a,Homeobox protein Anthox6a,NV2g011327000.1,NVE11345
Anthox7,Homeobox protein Anthox7,NV2g012004000.1,NVE21278
Anthox8a,Homeobox protein Anthox8a,NV2g012007000.1,NVE21156
Anthox8b,Homeobox protein Anthox8b,NV2g012008000.1,NVE21279
B-H1,Homeobox protein B-H1,NV2g025278000.1,NVE18480
Dlx,Homeobox protein Dlx,NV2g014640000.1,NVE8363
Dmbx1,Diencephalon/mesencephalon homeobox protein 1,NV2g003591000.1,NVE1803
Dmbx4,Diencephalon/mesencephalon homeobox protein 1-B,NV2g003592000.1,NVE1799
Dmbx5,Diencephalon/mesencephalon homeobox protein 1-B,NV2g003593000.1,NVE1797
Emx,Homeobox protein EMX1,NV2g018403000.1,NVE4528
Gbx,Gastrulation brain homeodomain,NV2g011380000.1,NVE20684
Gsc,Homeobox protein goosecoid,NV2g010922000.1,NVE19762
MoxB,Homeobox protein Mox1,NV2g012940000.1,NVE10742
MoxC,Homeobox protein Mox1,NV2g012942000.1,NVE10743
MoxD,Homeobox protein Mox1,NV2g012943000.1,NVE10744
Msx1,Homeobox protein MSX-1 ,NV2g012247000.1,NVE12977
Nkx2.2a1,Homeobox protein Nkx-2.2a,NV2g011134000.1,NVE10557
Nkx2.2a2,Homeobox protein Nkx-2.2a,NV2g011262000.1,NVE11289
Nkx2.8,Homeobox protein Nkx-2.8,NV2g011132000.1,NVE10555
Nkx3.2,Homeobox protein Nkx-3.2,NV2g018723000.1,NVE24919
OtxA,Homeobox protein OTX1,NV2g012793000.1,NVE7117
OtxB,Homeobox protein OTX1 B,NV2g012795000.1,NVE7116
OtxC,Homeobox protein OTX1,NV2g012799000.1,NVE7115
Six4/5,Homeobox protein SIX4/5,NV2g010728000.1,NVE17554
Tlx,T-cell leukemia homeobox protein 2,NV2g011935000.1,NVE21231
Uncx,Homeobox protein unc-4 homolog,NV2g006849000.1,NVE7609
Cdx,HoxB3-like,NV2g030001000.1,
Lbx,Transcription factor LBX2 ,NV2g017667000.1,NVE20146
