chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e2_conf	LCM_4:e2e3_conf	LCM_4:e1e3_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e2_conf	LCM_5:e2e3_conf	LCM_5:e1e3_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e2_conf	LCM_8:e2e3_conf	LCM_8:e1e3_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e2_conf	LCM_9:e2e3_conf	LCM_9:e1e3_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e2_conf	LCM_15:e2e3_conf	LCM_15:e1e3_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e2_conf	LCM_16:e2e3_conf	LCM_16:e1e3_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e2_conf	LCM_20:e2e3_conf	LCM_20:e1e3_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e2_conf	LCM_21:e2e3_conf	LCM_21:e1e3_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e2_conf	LCM_26:e2e3_conf	LCM_26:e1e3_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e2_conf	LCM_27:e2e3_conf	LCM_27:e1e3_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.1	2	Pocillopora_acuta_HIv2___RNAseq.g27461.t1	1077793	1077999	1078383	1078529	1078927	1080381	0.0	0.0	0.0	0	0	0	nan	61.7	25.4	12.1	37	20	19	0.51	0.0	0.0	3.6	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	19.5	15.2	13.2	16	13	0	1.00	0.0	0.0	0.0	0	0	0	nan	19.1	36.1	2.9	35	27	0	1.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	29.8	0	0	0	nan	0.0	0.0	18.4	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.2	0	Pocillopora_acuta_HIv2___TS.g10282.t1	1969419	1969522	1969917	1970009	1970883	1971163	12237.6	171.0	9587.2	190	105	14752	0.01	8479.9	194.9	6746.5	172	10	9917	0.00	1913.2	0.0	1512.5	0	0	2278	0.00	4465.7	117.7	3880.9	168	0	5550	0.00	3152.3	84.7	2818.3	104	24	3828	0.01	5488.7	129.5	4580.3	170	0	6396	0.00	1241.0	80.1	1014.3	78	0	1373	0.00	5177.4	194.2	4530.2	165	0	6149	0.00	3632.5	82.0	3052.6	107	0	4274	0.00	5334.8	90.6	4618.7	51	0	6553	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.6	1	Pocillopora_acuta_HIv2___RNAseq.g27847.t2	5126499	5126564	5127157	5127206	5127613	5127731	0.0	0.0	0.0	0	0	0	nan	101.2	0.0	96.4	0	0	99	0.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	42.9	41.7	33.4	44	40	0	1.00	0.0	0.0	1.4	0	0	0	nan	42.5	12.1	88.4	0	28	44	0.00	0.0	0.0	0.0	0	0	0	nan	99.9	0.0	112.8	0	0	111	0.00	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.7	2	Pocillopora_acuta_HIv2___RNAseq.g27847.t2	5128035	5128167	5128512	5128608	5129189	5130288	0.0	0.0	31.1	0	0	0	nan	114.0	61.6	67.9	21	95	94	0.18	0.0	0.0	24.2	0	0	0	nan	0.0	0.0	2.6	0	0	0	nan	55.0	69.5	66.5	0	31	43	0.00	4.7	0.0	32.1	0	0	0	nan	99.5	80.1	38.6	37	44	0	1.00	0.0	0.0	24.7	0	0	0	nan	105.2	87.3	87.2	68	72	43	0.61	0.0	0.0	52.4	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.8	0	Pocillopora_acuta_HIv2___RNAseq.g27847.t2	5128035	5128167	5128512	5128643	5129189	5130288	0.0	0.0	31.1	0	0	0	nan	114.0	45.3	67.9	21	0	94	0.00	0.0	0.0	24.2	0	0	0	nan	0.0	0.0	2.6	0	0	0	nan	55.0	65.1	66.5	0	0	43	0.00	4.7	0.0	32.1	0	0	0	nan	99.5	67.0	38.6	37	0	0	nan	0.0	0.0	24.7	0	0	0	nan	105.2	72.3	87.2	68	27	43	0.39	0.0	0.0	52.4	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.14	0	Pocillopora_acuta_HIv2___RNAseq.g27877.t1	5524457	5524656	5524791	5524853	5524930	5524972	0.5	0.0	0.0	0	0	0	nan	6.6	0.0	25.0	0	0	0	nan	0.0	0.0	2.3	0	0	0	nan	76.9	1.6	0.0	0	0	0	nan	13.6	0.0	7.5	0	0	4	nan	11.3	5.0	11.2	0	10	0	nan	2.3	1.7	1.0	0	1	0	nan	6.5	1.7	8.0	0	2	0	nan	5.5	12.3	7.7	15	8	0	nan	20.2	47.8	62.3	36	51	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.15	1	Pocillopora_acuta_HIv2___TS.g10701.t3	6160238	6160345	6160776	6160817	6160962	6161043	0.0	0.0	0.0	0	0	0	nan	107.6	40.1	64.0	38	33	48	0.41	328.3	0.0	357.4	0	0	346	0.00	0.0	0.0	0.0	0	0	0	nan	1.1	0.0	0.0	0	0	0	nan	88.2	0.0	61.9	0	0	71	0.00	254.7	0.0	239.9	0	0	252	0.00	72.5	0.0	100.3	0	0	92	0.00	50.3	0.0	28.5	0	0	38	0.00	159.0	0.0	143.4	0	0	158	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.19	2	Pocillopora_acuta_HIv2___RNAseq.g27967.t1b	6662547	6662650	6663133	6663253	6663361	6663428	0.0	0.0	0.0	0	0	0	nan	214.4	254.7	231.0	249	233	0	1.00	327.2	235.2	201.7	260	164	76	0.68	0.0	51.6	164.8	0	120	0	nan	259.2	228.8	210.9	253	191	25	0.88	117.7	66.6	123.0	63	57	62	0.48	280.9	300.6	292.4	298	295	0	1.00	73.2	121.9	101.9	100	110	0	1.00	234.8	276.3	240.1	249	265	0	1.00	70.1	93.3	70.4	93	78	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.25	2	Pocillopora_acuta_HIv2___RNAseq.g28327.t4	11334906	11335018	11335117	11335179	11336237	11336390	0.0	0.0	0.0	0	0	0	nan	42.0	16.5	47.6	10	21	28	0.26	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	14.2	0.0	25.6	0	0	26	0.00	0.0	0.0	0.0	0	0	0	nan	26.5	23.2	23.5	23	19	0	1.00	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.30	2	Pocillopora_acuta_HIv2___RNAseq.g28466.t1	12701627	12701736	12704502	12704800	12709387	12709488	0.0	0.0	0.0	0	0	0	nan	4.6	106.7	137.9	15	135	0	1.00	0.0	55.4	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	25.4	44.6	0.0	12	0	0	nan	0.0	0.0	0.0	0	0	0	nan	23.5	16.1	66.0	0	0	33	0.00	0.0	0.0	0.0	0	0	0	nan	16.6	66.1	66.5	34	76	0	1.00	0.0	0.0	0.0	0	0	0	nan
