>NV2t010607001.1 gene=NV2g010607000.1 CDS=347-6490
>NV2t006849001.1 gene=NV2g006849000.1 CDS=678-3089
>NV2t008029002.1 gene=NV2g008029000.1 CDS=1-900
>NV2t030001001.1 gene=NV2g030001000.1 CDS=29-682
>NV2t003379001.1 gene=NV2g003379000.1 CDS=273-953
>NV2t003591002.1 gene=NV2g003591000.1 CDS=270-971
>NV2t003592001.1 gene=NV2g003592000.1 CDS=95-829
>NV2t003593001.1 gene=NV2g003593000.1 CDS=292-1056
>NV2t021183001.1 gene=NV2g021183000.1 CDS=536-1462
>NV2t022323001.1 gene=NV2g022323000.1 CDS=195-1154
>NV2t025557001.1 gene=NV2g025557000.1 CDS=326-940
>NV2t025557002.1 gene=NV2g025557000.1 CDS=326-928
>NV2t014640001.1 gene=NV2g014640000.1 CDS=1-774
>NV2t017442001.1 gene=NV2g017442000.1 CDS=227-1117
>NV2t017667001.1 gene=NV2g017667000.1 CDS=156-785
>NV2t017961001.1 gene=NV2g017961000.1 CDS=231-998
>NV2t018403001.1 gene=NV2g018403000.1 CDS=217-900
>NV2t018723001.1 gene=NV2g018723000.1 CDS=364-1137
>NV2t010728001.1 gene=NV2g010728000.1 CDS=101-976
>NV2t010887001.1 gene=NV2g010887000.1 CDS=228-1265
>NV2t011090001.1 gene=NV2g011090000.1 CDS=65-886
>NV2t011132001.1 gene=NV2g011132000.1 CDS=461-1117
>NV2t011134001.1 gene=NV2g011134000.1 CDS=919-1569
>NV2t011138001.1 gene=NV2g011138000.1 CDS=341-1084
>NV2t011262001.1 gene=NV2g011262000.1 CDS=141-932
>NV2t011327001.1 gene=NV2g011327000.1 CDS=146-769
>NV2t011380001.1 gene=NV2g011380000.1 CDS=51-737
>NV2t011935001.1 gene=NV2g011935000.1 CDS=98-748
>NV2t012008001.1 gene=NV2g012008000.1 CDS=2-502
>NV2t012247002.1 gene=NV2g012247000.1 CDS=1161-1751
>NV2t012793001.1 gene=NV2g012793000.1 CDS=345-1127
>NV2t012795001.1 gene=NV2g012795000.1 CDS=418-1023
>NV2t012799001.1 gene=NV2g012799000.1 CDS=162-869
>NV2t012939001.1 gene=NV2g012939000.1 CDS=540-1268
>NV2t012940001.1 gene=NV2g012940000.1 CDS=1426-2112
>NV2t012942001.1 gene=NV2g012942000.1 CDS=224-820
>NV2t012943001.1 gene=NV2g012943000.1 CDS=1499-2134
