chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e3_conf	LCM_4:e2_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e3_conf	LCM_5:e2_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e3_conf	LCM_8:e2_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e3_conf	LCM_9:e2_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e3_conf	LCM_15:e2_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e3_conf	LCM_16:e2_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e3_conf	LCM_20:e2_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e3_conf	LCM_21:e2_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e3_conf	LCM_26:e2_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e3_conf	LCM_27:e2_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.1	0	Pocillopora_acuta_HIv2___TS.g10282.t1	1969419	1969453	1969454	1969522	1970883	1971082	9406.2	13673.8	12708.8	0	14752	1.00	6607.2	9429.8	8901.6	0	9917	1.00	1443.8	2151.4	2001.3	0	2278	1.00	3248.5	5083.1	5130.7	0	5550	1.00	2356.5	3555.9	3697.7	0	3828	1.00	4354.9	6063.8	6018.3	0	6396	1.00	987.8	1369.5	1325.0	0	1373	1.00	3961.9	5793.9	5924.7	0	6149	1.00	2860.5	4024.1	3994.7	20	4274	1.00	4045.5	5988.8	6075.3	0	6553	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.2	1	Pocillopora_acuta_HIv2___RNAseq.g27572.t1	2507823	2507852	2507853	2508022	2508786	2508853	0.0	0.0	0.0	0	0	nan	46.2	0.0	39.3	39	0	0.00	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	3.9	0.0	8.5	4	0	nan	0.0	0.0	0.0	0	0	nan	28.8	0.0	30.2	27	0	0.00	0.0	0.0	0.0	0	0	nan	33.9	4.4	87.8	31	19	0.38	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.3	1	Pocillopora_acuta_HIv2___RNAseq.g27847.t2	5128512	5128608	5128609	5128643	5129189	5129238	0.0	0.0	0.0	0	0	nan	61.6	0.0	186.4	95	0	0.00	0.0	0.0	48.5	0	0	nan	0.0	0.0	0.0	0	0	nan	69.5	52.7	86.4	31	0	0.00	0.0	0.0	44.5	0	0	nan	80.1	30.8	93.0	44	0	0.00	0.0	0.0	0.0	0	0	nan	87.3	30.7	156.6	72	27	0.27	0.0	0.0	70.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.8	2	Pocillopora_acuta_HIv2___TS.g10646.t1	5655549	5655587	5655588	5655643	5657097	5657174	0.0	0.0	0.0	0	0	nan	120.7	132.8	111.8	0	88	1.00	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	24.4	26.1	0.0	0	0	nan	0.0	5.5	15.8	0	12	1.00	0.0	0.0	9.7	0	0	nan	0.0	0.0	0.0	0	0	nan	74.6	30.8	87.5	49	35	0.42	74.8	99.8	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.9	2	Pocillopora_acuta_HIv2___RNAseq.g27949.t1	6392919	6392983	6392984	6393018	6393444	6394079	0.0	0.0	1.4	0	0	nan	51.6	37.6	57.4	4	36	0.90	0.0	0.0	37.7	0	0	nan	180.4	173.8	87.7	0	165	1.00	46.6	34.1	23.0	0	25	1.00	0.0	0.0	0.0	0	0	nan	89.8	92.7	49.3	0	92	1.00	60.3	67.3	48.6	0	72	1.00	116.7	114.0	70.0	0	104	1.00	37.3	44.4	52.5	0	43	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.11	2	Pocillopora_acuta_HIv2___RNAseq.g27965.t1	6652768	6652907	6652908	6652908	6653022	6653141	330.3	377.0	454.5	0	374	1.00	1627.6	1729.0	1835.2	0	1696	1.00	1005.1	990.0	1017.8	0	988	1.00	523.2	505.0	577.0	0	502	1.00	795.8	914.0	963.7	0	910	1.00	197.3	206.0	216.2	0	204	1.00	794.0	853.0	850.6	0	847	1.00	407.1	422.0	434.4	0	421	1.00	772.8	773.0	901.2	52	766	0.94	785.0	796.0	796.8	0	791	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.12	2	Pocillopora_acuta_HIv2___RNAseq.g27973.t1	6749476	6749621	6749622	6749630	6750523	6751241	0.0	0.0	23.5	0	0	nan	132.7	110.4	34.6	22	109	0.83	0.0	0.0	0.0	0	0	nan	0.0	0.0	0.0	0	0	nan	29.2	43.3	26.9	0	45	1.00	0.0	0.0	0.5	0	0	nan	64.0	70.9	12.1	0	70	1.00	0.0	0.0	0.0	0	0	nan	11.0	18.7	22.1	0	21	1.00	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.14	1	Pocillopora_acuta_HIv2___RNAseq.g28213.t1	9683432	9684549	9684550	9684892	9685619	9685631	0.0	0.0	0.0	0	0	nan	0.1	3.3	29.8	2	22	0.92	0.0	223.6	918.8	0	886	1.00	0.0	0.0	0.0	0	0	nan	127.8	75.2	308.5	60	198	0.77	64.0	57.6	50.6	0	0	nan	183.0	74.4	645.6	301	320	0.52	0.0	0.0	0.0	0	0	nan	597.9	142.5	917.9	554	185	0.25	0.0	0.0	0.0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.16	2	Pocillopora_acuta_HIv2___RNAseq.g28252.t1	10147666	10147765	10147766	10147766	10148150	10148323	1053.5	1167.0	1379.7	0	1157	1.00	411.2	436.0	634.9	34	432	0.93	0.0	0.0	0.0	0	0	nan	0.0	0.0	96.0	0	0	nan	67.0	60.0	88.5	0	60	1.00	199.6	224.0	407.5	0	215	1.00	34.2	45.0	60.8	0	45	1.00	224.6	278.0	408.6	0	271	1.00	32.1	34.0	48.8	0	34	1.00	647.1	785.0	954.3	0	771	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	alt_5prime.20	1	Pocillopora_acuta_HIv2___RNAseq.g28427.t1	12276336	12276473	12276474	12276501	12277104	12277212	68.3	59.9	179.2	3	0	nan	330.6	18.2	402.6	317	21	0.06	115.3	0.0	96.8	108	0	0.00	0.0	0.0	36.2	0	0	nan	175.8	0.2	182.0	167	0	0.00	62.5	0.2	141.5	84	0	0.00	41.7	0.0	71.9	50	0	0.00	78.9	0.0	115.1	79	0	0.00	445.0	0.1	511.1	456	0	0.00	249.6	0.1	268.4	251	0	0.00
